C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0.33096667836381,0.390060287122736,0.29304764283311,0.150552607459646,0.102270829078511,0,0.341772723113768,0.37450943135901,0.380704040319041,0,0.439025929175331,0.0686840460182411,0.542128152881775,0.108637126861851,0,0.175561481938319,0.0792756629855172,0.0839583213201611,0,0.624852227356407
strain2,0.297845511064511,0,0.334947552624938,0,0.0756405684957878,0.340172443698711,0.158951151282119,0.334130539731814,0.201097583721251,0.112432004890411,0.375136156562261,0.746205622316713,0.208961812639457,0.34199817004227,0.0700669004805622,0.265263352086214,0.215010790036099,0.024498164957094,0.688409803260724,0.215708961251591
strain3,0,0.535735900225525,0.372004804541952,0.106417692372463,0.393478586434316,0.143111502190202,0.121640413116959,0.230428955621065,0.351572453641831,0.887567995109589,0.0558951130024428,0,0.216576870049304,0.439971505970854,0.275077929304922,0.22715849021324,0.129062843912699,0.18989098024174,0.281679493137375,0.141090012870351
strain4,0.371187810571679,0.0742038126517386,0,0.743029700167892,0.428610015991385,0.516716054111086,0.377635712487154,0.0609310732881106,0.0666259223178764,0,0.129942801259965,0.185110331665046,0.0323331644294637,0.109393197125024,0.654855170214516,0.332016675762227,0.576650703065684,0.701652533481005,0.0299107036019012,0.0183487985216512
