C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
GCF_000520035.1_ASM52003v1_genomic,0.423929107452517,0.0427286189582684,0,0.844886844904168,0.478790272096396,0.58988039148094,0.390028526188395,0.0557364276555761,0.0259261609313054,0,0.12349044848311,0.146410015619534,0,0.107751340037773,0.736613601315591,0.347291055423323,0.6317107630446,0.824800370651919,0,0.0035265792934603
GCF_008275005.1_ASM827500v1_genomic,0.149897725624589,0.375739318590299,0.639761857021041,0.0201205614226649,0.373300466447358,0.410119608519059,0.112215719661347,0.37658442141661,0.364456409461237,1,0.21080055394225,0.848568006066627,0.158307401391044,0.780936595443217,0.263386398684409,0.396290074373526,0.267837373145412,0.133664876204101,1,0.0611402697563004
GCF_001675145.1_ASM167514v1_genomic,0.426173166922894,0.581532062451432,0.360238142978959,0.134992593673167,0.147909261456246,0,0.497755754150258,0.567679150927814,0.609617429607457,0,0.66570899757464,0.00502197831383945,0.841692598608956,0.11131206451901,0,0.256418870203151,0.100451863809988,0.0415347531439798,0,0.935333150950239
