C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0.310504020400728,0.0553379723026773,0.157957920062026,0.305498453353803,0.238676591302832,0.386674065782286,0.0617232878050367,0.42424694754923,0.302609357934129,0,0,0.418834887203298,0.0312707946139967,0.236323981216486,0.0355544553334988,0,0.136117378136588,0,0,0.185374570210595
strain2,0.229874102831196,0.063012840570692,0,0,0.0644889640968118,0.322577872937469,0,0.141644104491964,0.135263143587423,0.680270985337795,0.0708312449089715,0,0.0661001711829994,0.239828526200343,0,0.151827751123095,0,0.068051692630615,0.136902937101371,0.318917903627011
strain3,0.288997874714289,0.145948148859101,0.103439532973209,0.128078306129277,0.0914187258346354,0.0903936602824125,0.121368791030819,0.0964329764425652,0,0,0.132572488103866,0.247071753649591,0,0.119355928117353,0.670409148534587,0.107075329301116,0,0,0.262870528355883,0
strain4,0,0.39777684360325,0,0.26404576894918,0.0797334143394542,0.037473292173799,0.297775812225009,0.144656363902067,0.397797580832491,0,0,0,0.210874770553647,0.0847765779116669,0,0.0976754860860288,0.15525808198498,0.106586772658468,0.434024019742124,0
strain5,0,0,0.440674320690056,0,0.492188327693792,0.140514468431396,0.20773042200332,0.125330559467555,0.164329917645957,0.195657137074445,0.149954989859515,0.20471301239041,0.235853850969093,0.113481589256176,0,0.456118607607998,0.157116768663084,0.0998652496809934,0.0101693541498669,0
strain6,0.170624002053787,0.33792419466428,0.126436327332769,0.156096143303334,0.0334939767324744,0,0.284823200984443,0.0676890481466195,0,0.12407187758776,0.329278108662137,0.0126268872949291,0.222894634993373,0.146553506262897,0.294036396131914,0,0,0.61184774742829,0,0.0320518033180823
strain7,0,0,0.17149189894194,0.146281328264406,0,0.0223666403926367,0.0265784859513726,0,0,0,0.31736316846551,0.116753459461772,0.233005777686891,0.0596798910350791,0,0.187302825881763,0.551507771215348,0.113648537601634,0.156033160650755,0.463655722844311
