C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0.229838478194448,0.0631595830615759,0,0,0.0643768736415987,0.322479400879453,0,0.141505897384219,0.135288843983559,0.680426130212919,0.070948781239825,0,0.066112549249397,0.239795131490852,0,0.151847711656931,0,0.0680675112652268,0.136943932350169,0.318915162792325
strain2,0,0.397699005057114,0,0.264092340600886,0.0793448840427219,0.0370562442849443,0.29740346014603,0.144320716329782,0.397972505309892,0,0,0,0.210865442157704,0.0849669382344017,0,0.097561835201525,0.155539247855186,0.106202434286189,0.434169928030028,0
strain3,0.310931754775031,0.055307136280562,0.157552969811948,0.305395932679996,0.238966260397763,0.387412346953907,0.0619383574689636,0.424763245193073,0.302206780572355,0,0,0.41882211318452,0.0309951543291546,0.236096240762238,0.0359690578527513,0,0.135317280864135,0,0,0.185075295022256
strain4,0,0,0.171737659264373,0.146412690914898,0,0.0221557962010573,0.026406957998278,0,0,0,0.317203963657637,0.117196870323894,0.23285700937377,0.059890716339624,0,0.187369037706806,0.551429885363483,0.113140220113478,0.1552850639829,0.464623425371986
strain5,0,0,0.440184772294969,0,0.492110870258973,0.14071613360711,0.207777169967473,0.125452559047857,0.164531870134194,0.195574119759365,0.14989868583261,0.204818803516084,0.235924690370485,0.113536277784912,0,0.456044840909831,0.157713585917196,0.0994754144488873,0.0108257259937554,0
strain6,0.289304679312941,0.146065798300863,0.103779845707514,0.128322353837203,0.0916720204425939,0.0901800780735286,0.121535377250555,0.0964083276298262,0,0,0.132990383204855,0.247411479563953,0,0.119533527780712,0.671248134513266,0.107176574524906,0,0,0.262775349643148,0
strain7,0.16992508771758,0.337768477299885,0.126744752921196,0.155776681967016,0.0335290912163493,0,0.2849386771687,0.0675492544152423,0,0.123999750027716,0.328958186065073,0.0117507334115498,0.223245154519489,0.14618116760726,0.292782807633983,0,0,0.61311441988622,0,0.0313861168134334
