C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0,0.396900602629827,0,0.263848441794978,0.0807198696218858,0.0377124027984745,0.297716648904731,0.145671262418703,0.398504935618192,0,0,0,0.211501221133552,0.0852720805122499,0,0.0987838610463007,0.153725920365147,0.10760766903457,0.431672241389255,0
strain2,0,0,0.441061547103113,0,0.492541163155152,0.140137555713579,0.206763956130402,0.124895942174501,0.163813996870597,0.196116658899762,0.150207494720536,0.203265840959702,0.234441294036068,0.11261140942409,0,0.455072148687798,0.155936107405162,0.101414516808788,0.00872855801248344,0
strain3,0.174504310445792,0.338555942165673,0.125687063306457,0.15709281038936,0.0330764943535843,0,0.284356669077685,0.0672713926683955,0,0.127468135861439,0.330262004237092,0.0151395402034348,0.222858152266533,0.149592360563541,0.299197348863154,0,0,0.606574910991394,0,0.0357714341611379
strain4,0.283596468396657,0.145795677666794,0.101142803525631,0.125369867545539,0.089141626680455,0.0880576863585707,0.120338589802573,0.0943626307963586,0,0,0.131784907713658,0.241250617894985,0,0.116509563774221,0.663691054138633,0.107625965753185,0,0,0.264975482206099,0
strain5,0.312233850990208,0.0556943023791815,0.161346428790307,0.30736131560723,0.240533698088053,0.388615716577252,0.062317227001871,0.425719907845322,0.302362762264091,0,0,0.423948869196689,0.0316726119318405,0.237354848209328,0.0371115969982124,0,0.141172053788009,0,0,0.187741121578161
strain6,0,0,0.170762157274492,0.146327564662893,0,0.023070831023978,0.0285069090827375,0,0,0,0.31711738296327,0.116395131745189,0.233584623017563,0.0589784435727232,0,0.187676041194823,0.549165918441682,0.115891650604887,0.158362103146198,0.458191246543014
strain7,0.229665370167342,0.0630534751585245,0,0,0.0639871481008705,0.322405807528146,0,0.14207886409672,0.13531830524712,0.676415205238799,0.0706282103654435,0,0.0659420976144436,0.239681293943847,0,0.150841983317893,0,0.0685112525603612,0.136261615245965,0.318296197717687
