C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0.264545655252238,0.102119414057952,0.0165545121249497,0.117061900727501,0.0123980972633589,0.170550062687522,0,0.229863967146236,0.160726608939021,0.264375389125504,0.52827150105246,0.481482157638627,0.0842620588400218,0.148335919210621,0,0,0.142180298949591,0.285338470082209,0,0.0707701561706169
strain2,0.0490541539360342,0,0,0,0.255639520382885,0,0.036466450859295,0.182264581770256,0,0.125029545614587,0.0684485258758748,0,0,0,0.16867418569192,0.110837666657251,0.525889081187981,0,0.461199556319111,0.0597766735415875
strain3,0.678830891228079,0.167933869449785,0.325153332665831,0,0.244964013843248,0.302382084592707,0.228108642223002,0,0.222522556860192,0.00968850195421421,0.0409371724352103,0,0.628963426683718,0.251541033859212,0.347721120143054,0.134163716930339,0,0.185364991743537,0.296975652248091,0.0622342368779989
strain4,0,0.102269749372302,0,0.415871788842295,0,0.0774273406898632,0.325596997889463,0.0825239180676078,0.0956925904318137,0,0.288989934235579,0,0.28677451447626,0.213502329791441,0.0417140456797917,0.220126863062495,0.301087414962774,0.0949396251974334,0.134296244672271,0.506785664572018
strain5,0,0.62767696711996,0.658292155209219,0.130883816972539,0.118236609653283,0,0.397006540410652,0.287405394713233,0.0816313948767361,0.0828152433651619,0.0733528664008756,0.418969204330424,0,0.222599788964307,0.207075469268596,0.0756264557302388,0,0,0.107528546760527,0.0827857592259653
strain6,0.00756929958364914,0,0,0.336182493457665,0.368761758857225,0.449640512029908,0.0128213686175885,0.217942138302668,0.439426848892237,0.518091319940533,0,0.0995486380309491,0,0.164020928174419,0.234815179216639,0.459245297619677,0.0308432048996537,0.434356912976821,0,0.217647509611814
