C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,2.6014866681106e-05,0.625958816592825,0.65527218890347,0.131625637734894,0.116711050371126,0,0.397675550140885,0.286584808911554,0.0813274830300641,0.0828300637878339,0.0742932899794834,0.417458922796682,0,0.222243137142173,0.205613292598679,0.0763339472061235,0,0,0.106912334430931,0.0838428980641253
strain2,0.680246665475284,0.169921580030751,0.327361558438384,0,0.248970301483926,0.307859221768955,0.230864944139622,0,0.227088866448928,0.0125597846426057,0.0415849700108425,0,0.631186602892433,0.25480420257816,0.350325660170342,0.137554895416606,0,0.189569904073648,0.298397803186919,0.0640753594718831
strain3,0.264205756210566,0.103208894633091,0.0173662526581462,0.117032607646579,0.0130332465657638,0.171276849498824,0,0.228668913800646,0.161004290759508,0.263140089527909,0.52594223648648,0.478416456302984,0.0856155835247368,0.148677058602337,0,0,0.141058860232508,0.285305437528681,0,0.0720640199625658
strain4,0.00737305639194224,0,0,0.337953030164087,0.364117603934798,0.448058975017012,0.0159850108370124,0.216509001272932,0.439273054554738,0.513944183869385,0,0.0976968475304166,0,0.164915701231731,0.234114697926845,0.460972788911968,0.0325701606339106,0.43334062978776,0,0.218820865358269
strain5,0.0481485070555263,0,0,0,0.257167797644386,0,0.0335670129703086,0.182102850190025,0,0.127525878172267,0.0708738379659643,0.00642777336991781,0,0,0.164977942159325,0.107353846059461,0.514149199510414,0,0.451017692158654,0.0583834476970241
strain6,0,0.100910708743333,0,0.413388724454439,0,0.0728049537152087,0.321907481912172,0.0861344258248436,0.0913063052067623,0,0.28730566555723,0,0.28319781358283,0.209359900445599,0.0449684071448098,0.217784522405841,0.312221779623167,0.0917840286099115,0.143672170223496,0.502813409446132
