C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0.485386129172674,0.534731297905447,0.588273211246272,0.640497594038679,0.692689554640936,0.745426576083647,0.802535488591497,0.856986302962712,0.917015250761007,0.978284347867459,0,1,0.0506500566252734,0.110967100473455,0.163380732573433,0.220498709774568,0.276996000195682,0.325499850218796,0.374828106445967,0.432315834449846
strain2,0.514613870827326,0.465268702094553,0.411726788753728,0.359502405961321,0.307310445359064,0.254573423916353,0.197464511408503,0.143013697037288,0.0829847492389933,0.0217156521325406,1,0,0.949349943374727,0.889032899526545,0.836619267426567,0.779501290225432,0.723003999804318,0.674500149781204,0.625171893554033,0.567684165550154
