C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C1,C20,C2,C3,C4,C5,C6,C7,C8,C9
strain1,0.264240211811094,0.102557771922117,0.0171357774992946,0.117483736739487,0.0129601815940658,0.171060967541919,0,0.229881854155539,0.160995482953531,0.264417415480934,0.527447928592098,0.480934534294616,0.084486310093768,0.148444899697285,0,0,0.141510883330472,0.285227973644872,0,0.0711091599374774
strain2,0.679165277770844,0.168325294833866,0.325461253180305,0,0.245661177018902,0.303440140297839,0.228731630161142,0,0.222905864245882,0.0103172056350377,0.0410255337748376,0,0.629154555018773,0.251816977222639,0.347980138198195,0.134550794994514,0,0.185944380210906,0.297639177049386,0.062695883275733
strain3,0.00736206230348634,0,0,0.336076811035252,0.36814204080778,0.448867414138021,0.0130239642845692,0.217751033386238,0.43896863389201,0.517882065230162,0,0.0993964600581254,0,0.16428115870825,0.234929006579625,0.459530453479676,0.0314520561368475,0.434031521325461,0,0.217731297146988
strain4,0.049232448114576,0,0,0,0.255046170370893,0,0.0355828371233276,0.182067705163142,0,0.124091433363971,0.0692933296380271,0.00118832593608975,0,0,0.167433936794614,0.109409932126966,0.524602058874512,0,0.459683608850202,0.0590710885294755
strain5,0,0.101780604161694,0,0.415720398880071,0,0.0766314780222218,0.325338405300111,0.0830822654263193,0.0957442097049918,0,0.289091020075098,0,0.286359134887459,0.21340333183714,0.0427358375985253,0.220445501716945,0.302435001658169,0.0947961248187613,0.13519551051093,0.506294477222409
strain6,0,0.627336329082323,0.6574029693204,0.13071905334519,0.118190430208359,0,0.397323163130851,0.287217141868762,0.0813858092035848,0.0832918802898955,0.0731421879199399,0.418480679711169,0,0.222053632534686,0.206921080829041,0.0760633176818989,0,0,0.107481703589482,0.0830980938879178
