V3,C1_WGSerr_r0,C10_WGSerr_r0,C11_WGSerr_r0,C12_WGSerr_r0,C13_WGSerr_r0,C14_WGSerr_r0,C15_WGSerr_r0,C16_WGSerr_r0,C17_WGSerr_r0,C18_WGSerr_r0,C19_WGSerr_r0,C2_WGSerr_r0,C20_WGSerr_r0,C3_WGSerr_r0,C4_WGSerr_r0,C5_WGSerr_r0,C6_WGSerr_r0,C7_WGSerr_r0,C8_WGSerr_r0,C9_WGSerr_r0
str-1,0.134921,0.14935,0.134454,0.125,0.131868,0.142857,0.133333,0.133333,0.142857,0.126051,0.125,0.138158,0.136364,0.119047,0.125,0.125,0.133333,0.125,0.127273,0.129412
str-2,0.222222,0.214286,0.222689,0.214286,0.214286,0.2,0.2,0.2,0.222222,0.214286,0.179348,0.195175,0.214286,0.214286,0.2,0.210526,0.2,0.225,0.2,0.210526
str-3,0.285714,0.263158,0.277311,0.275,0.285714,0.257143,0.277778,0.266667,0.277778,0.285714,0.25,0.278509,0.285714,0.285714,0.26087,0.264474,0.266667,0.275,0.272727,0.260062
str-4,0.357143,0.373206,0.365546,0.385714,0.368132,0.4,0.388889,0.4,0.357143,0.373949,0.445652,0.388158,0.363636,0.380953,0.41413,0.4,0.4,0.375,0.4,0.4
