V3,C1_WGSerr_r0,C10_WGSerr_r0,C11_WGSerr_r0,C12_WGSerr_r0,C13_WGSerr_r0,C14_WGSerr_r0,C15_WGSerr_r0,C16_WGSerr_r0,C17_WGSerr_r0,C18_WGSerr_r0,C19_WGSerr_r0,C2_WGSerr_r0,C20_WGSerr_r0,C3_WGSerr_r0,C4_WGSerr_r0,C5_WGSerr_r0,C6_WGSerr_r0,C7_WGSerr_r0,C8_WGSerr_r0,C9_WGSerr_r0
str-1,0.25,0.153846,0.130719,0.2,0.136364,0.133333,0.104166,0.2,0.142857,0.238096,0.089286,0.116667,0.222223,0.151785,0.2,0.125,0.128572,0.230769,0.166667,0.142308
str-2,0.333333,0.227107,0.222222,0.333333,0.214286,0.222222,0.229166,0.307692,0.222222,0.333333,0.2,0.216667,0.333333,0.223215,0.3,0.208333,0.228572,0.277778,0.333333,0.242308
str-3,0.416667,0.285714,0.269281,0.466667,0.64935,0.25,0.270834,0.492308,0.277778,0.428571,0.285714,0.283334,0.444444,0.276786,0.5,0.266667,0.271429,0.491453,0.5,0.257692
str-4,0,0.333333,0.377778,0,0,0.394445,0.395834,0,0.357143,0,0.425,0.383333,0,0.348214,0,0.4,0.371428,0,0,0.357693
