V3,C1_WGSerr_r0,C10_WGSerr_r0,C11_WGSerr_r0,C12_WGSerr_r0,C13_WGSerr_r0,C14_WGSerr_r0,C15_WGSerr_r0,C16_WGSerr_r0,C17_WGSerr_r0,C18_WGSerr_r0,C19_WGSerr_r0,C2_WGSerr_r0,C20_WGSerr_r0,C3_WGSerr_r0,C4_WGSerr_r0,C5_WGSerr_r0,C6_WGSerr_r0,C7_WGSerr_r0,C8_WGSerr_r0,C9_WGSerr_r0
Consensus_Seq,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
str-1,0.125,0,0,0,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0.166667
str-2,0.125,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.333333
str-3,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
str-4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
