V3,C1_WGSerr_r0,C10_WGSerr_r0,C11_WGSerr_r0,C12_WGSerr_r0,C13_WGSerr_r0,C14_WGSerr_r0,C15_WGSerr_r0,C16_WGSerr_r0,C17_WGSerr_r0,C18_WGSerr_r0,C19_WGSerr_r0,C2_WGSerr_r0,C20_WGSerr_r0,C3_WGSerr_r0,C4_WGSerr_r0,C5_WGSerr_r0,C6_WGSerr_r0,C7_WGSerr_r0,C8_WGSerr_r0,C9_WGSerr_r0
str-1,0.212122,0.125,0.1125,0.222222,0.126436,0.125,0.1,0.15,0.119047,0.116667,0.152778,0.222223,0.125,0.133333,0.2,0.111111,0.111765,0.1875,0.166667,0.1875
str-2,0.333333,0.222222,0.2,0.349207,0.206897,0.208333,0.2,0.21875,0.214286,0.216667,0.222222,0.333333,0.210526,0.215385,0.3,0.2,0.2,0.267045,0.285714,0.3125
str-3,0.454545,0.277778,0.258929,0.428571,0.25,0.291667,0.3,0.28125,0.285714,0.283334,0.625,0.444444,0.285714,0.266667,0.5,0.261538,0.3,0.545455,0.547619,0.5
str-4,0,0.375,0.428571,0,0.416667,0.375,0.4,0.35,0.380953,0.383333,0,0,0.37876,0.384615,0,0.427351,0.388235,0,0,0
