SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599088,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599107,SRR11599110,SRR11599111,SRR11599112,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599132,SRR11599133,SRR11599134,SRR11599138,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599145,SRR11599146,SRR11599147,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599163,SRR11599164,SRR11599165,SRR11599166,SRR11599167,SRR11599169,SRR11599170,SRR11599172,SRR11599173,SRR11599174,SRR11599175,SRR11599176,SRR11599177
strain1,0,0,0.00858323874581109,0.0318943127664581,0.0118687594297496,0.0340470532272338,0.00862990945370988,0,0,0.030199910025174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173153716242184,0.0382901097109843,0.207546919841822,0.029149632791964,0.0181279613553766,0.117111518776351,0.104151079610513,0.119970878516136,0.12455415155616,0.19432233719691,0.218596919397967,0.19052498628803,0.0555339115311399,0.135918938657011,0.143532832538538,0.136217246971973,0.13306766166369,0,0.0215585754131857,0,0.202372657840954,0,0.0129948095867259,0.0085623258518101,0.293167490532976,0.350307203144511,0.351992084314651,0.0925182857709829,0.187920073542889,0.119233578175534,1,1,1,1,0.108756551666129,0.176945806264553,0.0142995086428751,0,0.011369840519398,0,0,0.0580709683513526,0.0154878427294371,0.0491847844454383,0,0.17279138326771,0,0,0,0,0,0,0,0,0.0680685182450873,0.342193290533965,0.0253706995659404,0.0521334746531364,0.365287408481557,0,0.371353057157165,0.157493905845965,0.151654290751336,0.127087307476224,0,0.0055546677530889,0.140978139377606
strain2,0.144616294796745,0.124728773545871,0.189186525031179,0.0899036219272832,0.0714480888643104,0.100631741694155,0,0.164814206480135,0.0206149332431451,0.0257320381751847,0,0,0.296904829131457,0.478617280642384,0.495480607140703,0.53744638819169,0.544618952919209,0.399861344940749,0.0343885335418127,0.43889746973142,0.417196137632704,0.354751158442347,0.870758392068879,0.308315528745629,0.841296310743372,0,0.123230459744882,0.162300546512206,0.151597698379468,0.0887530599504354,0.22386867810449,0.112354414660703,0.0168132434272739,0.0926801673976179,0.401306396286407,0.329819167831531,0.148801299250699,0.94446608846886,0.864081061342989,0.821475018789419,0.853476920042971,0.86693233833631,0.121226940502661,0.00552921233137724,0.0989291467208438,0.107340969283826,0.24301231124499,0,0.0778902889086981,0.467795020898071,0.135531757180189,0.195858046703734,0.456396065770581,0.0719699315577698,0.646760348791689,0,0,0,0,0,0.0366617238948514,0,0,0.687663419904004,0.857739235572075,0,0.00998296519686707,0.23286675712222,0,0.227045528125741,0.0287783507389094,0.109057730485277,0.877323931786446,0.80343986360899,0.966445260787552,0.505349487804237,0,0,0,0.29978961702493,0.0834751841466096,0.0779985432734243,0.121681158001286,0.218888924539281,0,0.0804577590239598,0.00326842400242025,0.0104595100593912,0,0.182254643192726,0.0346266856704374,0.0104067374595079
strain3,0.852766175367926,0.872886948089421,0.798799251530372,0,0.853816656168831,0,0,0,0,0,0,0,0.371819986965998,0.27948222672304,0.27730094519705,0.260642658797794,0.275363015398476,0,0,0,0.0326623037669075,0,0,0.0151800045426139,0,0.692295316251129,0.695295504618686,0.128277339509428,0.695535425291101,0.800324059281371,0,0,0,0,0,0,0.138539438011683,0,0,0,0,0,0,5.21607663157632e-05,0,0.205843044537846,0,0,0,0.021405458861138,0.0992125489456481,0.094099645679786,0.183902335976668,0.165672365203485,0,0,0,0,0,0.341921522733373,0.238764260353645,0.436679756020891,0.500056899231261,0.0886196521039912,0,0.127869611213216,0.177448200968841,0.03912740916777,0,0,0.137080449964438,0,0.032126574784869,0.0659846534169199,0,0.17040824584096,0,0,0,0.632141864729982,0.24102631244409,0,0.105628511304959,0.144273435610619,0.291084612786364,0.271629583635799,0.0522443867823032,0.0849971575843242,0.0729411652137857,0.817745356807274,0.945565879162574,0.149487586455738
strain4,0,0.00238427836470807,0.00343098469263759,0,0.0628664955371094,0.83093593955038,0.979849538908524,0.835185793519865,0,0.92077511050302,1,1,0.00864742610482942,0,0.0235178345902829,0,0.0253019883206688,0.275058892227344,0,0.263618445549841,0.30712938952795,0.27691011744327,0.0387548608617634,0.321717351119434,0.0517718335212266,0,0,0.424877060290958,0,0,0.130685014060598,0.134183077638162,0.0929109596742801,0.093929841726144,0,0,0.467335917415904,0,0,0,0,0,0,0.0100690979013966,0,0.428142780954877,0,0,0,0.127684476048064,0.21802438016343,0.13838011794231,0.241469946584399,0.522712943728016,0.205270395566697,0,0,0,0,0.0132680503153887,0.447082246244248,0,0,0,0,0.390825289296516,0.347223128732679,0.200018572476954,0.514032748100058,0.418427685828182,0.545249265638598,0.464405239721334,0,0.0291677474553596,0,0.068842933943169,0,0,0,0,0.0366070736068871,0,0.208829879302787,0.0846079119924635,0.101546727843995,0,0.333937333662317,0.337322016352622,0.299785963891766,0,0.0142527674139001,0.605618427176964
strain5,0.00261752983532896,0,0,0,0,0.0343852655282315,0,0,0,0,0,0,0.108376010082621,0.0640406275422661,0.0171718236372241,0.0127413722786781,0,0.288125949621797,0,0.297484084718739,0.233843950100713,0.360342347188783,0.090486747069358,0.300425708762264,0.106931855735401,0.0302135308811116,0,0,0,0,0.00109296284230426,0.0318309076847863,0.0922031485934433,0.0464055301027484,0.0369628920585817,0.0648633316085069,0,0,0,0.0349921486720439,0.0103058329850552,0,0.878773059497339,0.962790953587725,0.901070853279156,0.00727527891882772,0.75698768875501,0.97545686783497,0.913547385239492,0,0,0,0,0,0,0,0,0,0,0.227344891081276,0.0415601216369855,0.161766727512735,0.128929419744306,0.160792849348186,0.142260764427925,0.1420993525791,0,0.0306371801746506,0.151077754421599,0.0959463896600634,0,0.101843475628314,0,0,0,0.00200479423339745,0,0.0382801492772349,0.0293249262057958,0,0,0,0.0582034571211271,0,0.0769528843616404,0.0226426913797577,0.171176007206044,0.158605340601169,0.167642000892431,0,0,0.00309016089948492
strain6,0,0,0,0.878202065306259,0,0,0.0115205516377666,0,0.979385066756855,0.0232929412966211,0,0,0.214251747715094,0.17785986509231,0.18652878943474,0.189169580731838,0.154716043361645,0.036953813210109,0.965611466458187,0,0.0091682189717253,0.0079963769256004,0,0.0543614068300589,0,0.104337436625575,0.143183925925449,0.0769981338455856,0.123717243537466,0.0927949194128173,0.527241826216257,0.617480520405836,0.678101769788866,0.64243030921733,0.367408374458101,0.386720581161996,0.054798359033684,0,0,0,0,0,0,0,0,0.0490252684636698,0,0.0115483225783043,0,0.0899475536597499,0.196924110566222,0.219670105359519,0.0257133658973688,0.0517246859678405,0.0287356774660808,0,0,0,0,0.308708984203833,0.0589858416057169,0.3872540078235,0.371013681024433,0.0515542381244207,0,0.339205746911168,0.40727473675026,0.481862238328969,0.285704713032904,0.258580396386014,0.116100550390344,0.324693554165075,0.0905494934286853,0.10140773551873,0.0335547392124477,0.253394538178237,1,0.961719850722765,0.970675073794204,0,0.296698139268448,0.896630757160635,0.453523519616704,0.18694231937608,0.530415775008001,0.253916908803319,0.28187994250095,0.256961684651157,0.332543562525794,0,0,0.0904189486306988
