SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599088,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599108,SRR11599109,SRR11599110,SRR11599111,SRR11599112,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599132,SRR11599133,SRR11599134,SRR11599138,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599145,SRR11599146,SRR11599147,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599163,SRR11599164,SRR11599165,SRR11599167,SRR11599169,SRR11599170,SRR11599172,SRR11599173,SRR11599174,SRR11599175,SRR11599176,SRR11599177
strain1,0.0294437466624587,0.0472442349001452,0.0871426554962047,0.116430256756288,0.015389633357009,0,0,0.251291636442815,0.0678617115270355,0.325583470893602,0.0409674075991309,0.0603773111958294,0.117038218456471,0.0458666192256302,0.236222145435453,0.433397407587624,0.480177677346347,0.501258184813182,0.514347719113456,0.419423653387167,0.0698735114844382,0.431367644433606,0.398366102650512,0.365168745391537,0.85218460653171,0.352941696001126,0.823548444511803,0,0.116716868844509,0.258373536605531,0.162787803813379,0.140583133213059,0.28233032797818,0.152081590980351,0.0114396968251751,0.10800075098748,0.402063024904518,0.321275095646111,0.0134595596762007,0.229471934471433,0,0,0.72292540874874,0.469696062107437,0.417164441732732,0.515680919844472,0.530135313024841,0.139292323000442,0.0550817410839907,0.159024844475199,0.194128017150053,0.331496647451139,0.0100268702354646,0.126630004562785,0.533855373153451,0.237164218489687,0.296793001254891,0.57741578142263,0.172937753890898,0.808376046633639,0,0,0,0,0.030458197410274,0.139898749760652,0,0.0155190047519179,0.657043782271908,0.866365836596881,0,0.0352404953622288,0.246766522847199,0,0.296361312641304,0.124018440263672,0.224421377955813,0.730739050131306,0.694895116816495,0.813133855872374,0.355902785903931,0,0,0,0.276220518752606,0.11157269603022,0.129939637556887,0.311798617053898,0.0278797506930326,0.0914108953930338,0.0971124345175372,0.0999492464123587,0,0.142273832813631,0,0.157240476730935
strain2,0.391969507650796,0.269117368082045,0.294380566239921,0,0.337734119802854,0.880811674054461,0.937175681949208,0.0475196409091793,0.256112799682409,0.0582964876685142,0,0.402148105321755,0.0932829750192418,0.451428294561701,0.00704702990084517,0.0107582489742445,0,0,0.000773698707245423,0.0458012078668331,0,0.0889883908255113,0.0861963275324978,0.0632610928171127,0,0.0479380510066856,0,0,0,0,0,0,0,0,0.0142907567300013,0,0,0,0.918412960894494,0,1,0.962808915113065,0.274215784126355,0.497497916072174,0.521339038755945,0.388743334706675,0.400923696357916,0.275229233461628,0.216396246798074,0.127040153980096,0,0.132307061170037,0.192598493583855,0.151547696300389,0,0,0,0,0,0,0.00505924840002721,0,0.00245660308628336,0.0110768262701368,0.0372261132130127,0,0.0165361657485345,0,0,0,0.134245397962549,0.296176416245212,0.021088366768481,1,0.0545016425245536,0,0,0.123436967560624,0.10060561999729,0.14205290959312,0.144264999202756,0,0,0.00246991596765856,0,0,0,0,0.0240091805252893,0,0.0489906345970187,0.0440805799338734,0.138604746729873,0.0830774753970364,0.186128915788284,0
strain3,0,0,0,0.861572636163427,0,0.0843885531392332,0.0376684031586589,0.123303076161858,0.139794783099367,0.0681563614463521,0.959032592400869,0.104430521417814,0.147663708742889,0.0773620507570086,0.325455549113093,0.227074287179201,0.235164318258348,0.235723268703485,0.184518794138235,0.38312905841804,0.930126488515562,0.32387823543151,0.348549180928807,0.382974127654957,0.113777425550704,0.410237567025656,0.127190156564388,0.0478950548282079,0.138009297386553,0.0665429812349637,0.135840651588058,0.132825780582083,0.519194784188883,0.633295694565581,0.765979558813084,0.68117679012646,0.444109038892231,0.485806032915597,0.0391555133186558,0.0707663406379442,0,0,0,0,0,0,0,0.166473714853241,0.204880229259427,0.214139153898325,0.0645137090816964,0.174549536042121,0.25390071506179,0.206602801740787,0,0.109466694980817,0.113666001007736,0,0.0908909479905148,0,0,0,0,0,0.360808106951768,0.0706176572982741,0.453114988152615,0.445362093242405,0.174453022933815,0.076734334014806,0.41868772965966,0.292305714875478,0.464342092175186,0,0.359514725852997,0.153143590859789,0.440974350100794,0.121701155298324,0.141595715289876,0.0448132345345062,0.28173811443787,1,1,0.997530084032341,0,0.128625604934091,0.870060362443113,0.0585295380638955,0.484224489144388,0.0906851541277765,0.28659448874799,0.275762358817792,0.334599566747915,0,0,0.128808248922601
strain4,0.578586745686746,0.672399982253542,0.604406258292882,0,0.625601910544589,0.0347997728063057,0.0251559148921326,0.0217450552455651,0,0.0162193827743929,0,0,0.0341587362992073,0,0.431275275550609,0.328770056258931,0.284658004395305,0.263018546483333,0.300359788041064,0.15164608032796,0,0.155765729309372,0.166888388888183,0.188596034136393,0.0340379679175854,0.188882685966532,0.049261398923809,0.735549873007152,0.700347687095046,0.145516057322434,0.701371544598563,0.726591086204857,0,0,0,0,0,2.93253796944541e-05,0,0.159549040708755,0,0.0371910848869345,0,0,0,0,0,0.419004728684689,0.523641782858508,0.499795847646381,0.218830177776779,0.361646755336703,0.543473921118891,0.515219497396039,0.0210090799337823,0.0770341206890515,0.0493009151549503,0.217037179958942,0.164610507093977,0,0,0,0,0,0.426122661557572,0.261760322069182,0.455430401391767,0.497573080859403,0.168503194794277,0.0568998293883125,0.198941295082883,0.122513613229466,0.0423770104363499,0,0,0.161232921762032,0,0.0241228270097459,0.0629035478963385,0,0.218094100455443,0,0,0,0.618810273072137,0.185904998620735,0,0.0410551486071163,0.358003337056802,0.231357765321475,0.072216058595641,0.083471718309592,0.0954595472618749,0.725207206041872,0.757953416692917,0.18287618854189
strain5,0,0.0112384147642683,0.0140705199709924,0.0219971070802855,0.0212743362955477,0,0,0.556140591240583,0.536230705691188,0.531744297217138,0,0.433044062064601,0.607856361482191,0.42534303545566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21655507216464,0.0449261466738917,0.529567424837072,0,0,0.198474887832938,0.214622714454068,0.20828998763174,0.21082245888606,0.153827936203251,0.192889546058597,0.0289719661106495,0.540212684181867,0,0,0.0028588071249041,0.0328060218203886,0.0614965195113236,0.0955757454488533,0.0689409906172437,0,0,0,0.522528095991471,0,0,0,0.445135546912766,0.576334965840444,0.540240082582422,0.205547038618428,0.57156079102461,0.191623953366361,0.994940751599973,1,0.997543396913717,0.988923173729863,0.145384920867373,0.527723270871891,0.0749184447070828,0.0415458211462743,0,0,0.248125577294908,0.253763760287615,0.225426007772784,0,0.289622318981145,0.561605047114508,0.334604271943393,0,0,0,0,0,0,0,0.104969208175258,0.573896700414955,0,0.588616696275091,0.105883242580488,0.586546185157715,0.495086383541813,0.496736096526384,0.431336139260337,0.04944148574746,0.0559176675187985,0.531075085804574
