SRR11599067,SRR11599069,SRR11599070,SRR11599074,SRR11599109,SRR11599138,SRR11599149,SRR11599153,SRR11599154,SRR11599156,SRR11599168
strain1,0,0,0.0549958266958543,0,0.118608945131315,0,0,0,0.97843102257133,0.000110931504667074,0
strain2,0,0.089632163805909,0.0730233637666432,0,0.0937166681455433,0.0103476286595871,0.000120053412339226,0.884508611946705,0.0215689774286701,0.878594445632216,0
strain3,0.0708767911383074,0,0,0,0.0195680448615576,0.00538098995826952,0.0105596206001069,0.115491388053295,0,0,1
strain4,0,0.116248640231231,0.12617209033126,0.0901766431568614,0.137187329092084,0.984271381382143,0,0,0,0,0
strain5,0,0.0880977478511715,0.0485284051427578,0,0.0257343224325185,0,0.989320325987554,0,0,0,0
strain6,0.929123208861693,0.706021448111688,0.697280314063485,0.909823356843139,0.605184690336981,0,0,0,0,0.121294622863117,0
