SRR11599093,SRR11599094,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599103,SRR11599107,SRR11599118,SRR11599125,SRR11599127,SRR11599129,SRR11599140,SRR11599151,SRR11599166,SRR11599177
strain1,0,0,0,0.0128496993244577,0,0,0.903708593695069,0,0.101725776013109,0,0,0.0196193963100873,0,0.0532389999147144,0.952178922445609,0
strain2,0.0417385073153052,0,0.0264169496984213,0.837154467150744,0,0,0.0665221846913466,0.198625332655647,0,0.0176630467921671,0,0.0523026195219011,0.0849340009594614,0.157965974398553,0,0.201966844577138
strain3,0,0,0,0.135919977641915,0.00408724670220257,0,0,0.796321787573612,0.867164098907359,0,0,0.877122162304927,0.890107266255953,0.760368272041439,0.0258236696647927,0.798033155422862
strain4,0.0193498443285307,0,0.0142771744937265,0,0,0,0.0297692216135845,0.00505287977074045,0,0.982336953207833,1,0.0115653344776776,0.0249587327845859,0,0,0
strain5,0.938911648356164,1,0.959305875807852,0.0140758558828832,0.995912753297797,1,0,0,0.0311101250795322,0,0,0.039390487385407,0,0.0284267536452941,0.0219974078895986,0
