SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599149,SRR11599154,SRR11599160,SRR11599161
strain1,0.196465037789778,0,0,0.0603622836101413,0.98414002397047,0,0.0513932756960955,0
strain2,0.786070417328837,0.880524240501713,0.824668678346805,0.939637716389859,0,0,0.0728330605787107,0
strain3,0,0.113185431235995,0.175331321653195,0,0.0158599760295297,1,0,0.0750486797748831
strain4,0.0174645448813858,0.00629032826229235,0,0,0,0,0.875773663725194,0.924951320225117
