SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599106,SRR11599107,SRR11599108,SRR11599109,SRR11599111,SRR11599112,SRR11599113,SRR11599114,SRR11599115,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599131,SRR11599132,SRR11599133,SRR11599134,SRR11599135,SRR11599136,SRR11599137,SRR11599138,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599145,SRR11599147,SRR11599148,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599160,SRR11599161,SRR11599162,SRR11599163,SRR11599164,SRR11599165,SRR11599166,SRR11599167,SRR11599168,SRR11599169,SRR11599170,SRR11599171,SRR11599172,SRR11599173,SRR11599174,SRR11599175,SRR11599176,SRR11599177,SRR11599178
strain1,0.773377771320595,0.428154341355585,0.380965490131027,0.0418269213538189,0.452488919453723,0,0,0,0,0,0.140667101888499,0,0.0306588883356044,0,0,0,0,0,0,0,0.141161247475818,0,0,0,0,0.0111533289261384,0,0.0202267585086365,0,0,0.438977727338902,0,0,0.120995189778311,0.0431909374260665,0.0315501714431083,0.125057489765775,0.117138599477592,0.0103021024912767,0.884136883541717,0,0,0,0,0,0,0,0.0329747118358346,0.729126791714309,0.00782718412757597,0.00861900660736865,0.00567673936738053,0.0140073912608296,0.00449866513833289,0.217255863480615,0.180741075495687,0.19475347191007,0.181648758341963,0.100120199776899,0.752077808818668,0.156973790573285,0,0,0,0,0,0,0,0,0.139224937593905,0.489810103374076,0.0644522925792617,0.0128663551066736,0,0,0,0.0856167067896336,0.0804543342052603,0.0697813365563026,0,0.599673349615877,0,0.0639633260712142,0.102420747193007,0.0389800614163715,0.0803350003187425,0.136690422656834,0.101125688447696,0.0450727878759482,0,0,0,0.393622718922238,0.426463875720489,0.102290105587783,0.0519328935178523,0.854249665063091,0.0681574334326119,0.704401489228977,0.462466137174705,0,0.0203876790810628,0,0,0.60639388154149,0.300095441278497,0.488337220931556,0.623249682498863
strain2,0,0,0,0,0.0342902587473067,0.269520142161717,0.269778663426221,0.182373017463841,0.10856718037028,0.173313537212347,0,0.181720685318806,0.0424865929737909,0.230245126035694,0.19743019106504,0.265832534043333,0.227114736163863,0.27642506168053,0.252388253449061,0.118455791278689,0,0.162071869607144,0.124492503702744,0.132020259068018,0.0988531255657153,0.0187523192566047,0.0352317958235979,0.0132001445313422,0.038318534344384,0.123528126859039,0.166829477402168,0.132774954266697,0.13758710130557,0,0,0,0,0,0.088694205190003,0.084686538612257,0.119750546295196,0.0937701757337526,0.155192800310138,0.180326983046906,0.185727623634395,0.230377460551909,0.451242518447128,0.955523669892468,0.0371889277687872,0.992172815872424,0.991380993392631,0.990225974764766,0.98599260873917,0.995501334861667,0,0,0,0,0.0135902784675211,0.0620144213317839,0,0.276848594934242,0.215399334631133,0.252223569849938,0.259752563073222,0.178474506953081,0.206040903084878,0.233742732054956,0.196986284660237,0,0.211569579530763,0.0726743904982054,0.0350230727797891,0.0635182010148414,0.0319708708167719,0.17583681281742,0,0,0,0.102481113401265,0.0929846990424746,0.370755388297503,0.0762684338990938,0.00571679601198138,0.117380951129254,0.101104575881987,0,0,0,0,0,0,0,0,0,0.105287903661319,0.0318389061186142,0,0.0108740356734278,0,0.127998188684666,0.0901242764664326,0.0855009458570412,0.153531525138821,0,0,0,0.109260204223344
strain3,0.148614862303215,0.466449670097058,0.367246122867638,0.415049720849362,0.319341743108136,0.527147816449366,0.444634593800825,0.609008388087906,0.866961950261346,0.538551019076781,0.345535146718144,0.818279314681194,0.904688754048396,0.561848085649055,0.763164594789091,0.311868325157548,0.405022056295041,0.280758673863903,0.294955872061397,0.325326742124441,0.268198984195133,0.324746369700399,0.506313884405868,0.355704079738296,0.409572095326573,0.706854406688797,0.841599801327044,0.811214257601908,0.56012378877078,0.565572754132358,0.25421746354502,0.508399472976758,0.450952354469887,0.400532059215944,0.319202223013587,0.134945484878985,0.479707432021038,0.343430797580081,0.606776689322438,0.0311765778460263,0.610907426076374,0.818664123520293,0.465841336308631,0.656083633625529,0.630290138484592,0.564078437461567,0.293581535740953,0.0115016182716971,0.233684280516904,0,0,0,0,0,0.738462277689374,0.414302334482801,0.586962136815461,0.624345859050191,0.411517038320604,0.185907769849548,0.390667170692282,0.45595154228233,0.656274878534174,0.698278170653533,0.722431904995889,0.667197463608549,0.746195738008655,0.560081137483117,0.644296568011017,0.767523879102609,0.100171576727242,0.49214135172395,0.822632956660361,0.274392845339153,0.705522754772869,0.391730248091145,0.914383293210366,0.91954566579474,0.840807453201732,0.442587551210863,0.264033348510904,0,0,0.114604416381186,0,0.0176994301597013,0.311701863462918,0.47793172268085,0.209019862880616,0.279781604830446,0.380992685905736,0.231094161178298,0.602098707818118,0.486860491979042,0.249664450660402,0.159868734774786,0,0.931842566567388,0.284724475097595,0.537533862825295,0.219311906066301,0.512993332833859,0.342204240226432,0.310052352714163,0.302557545576335,0.656846014263264,0.511662779068444,0.264510705767099
strain4,0.0780073663761899,0.105395988547357,0.251788387001335,0.543123357796819,0.193879078690834,0.203332041388917,0.285586742772954,0.208618594448253,0.0244708693683739,0.288135443710872,0.513797751393358,0,0.0221657646422082,0.207906788315251,0.0394052141458686,0.422299140799119,0.367863207541096,0.442816264455567,0.452655874489542,0.55621746659687,0.59063976832905,0.513181760692456,0.369193611891388,0.512275661193686,0.491574779107712,0.26323994512846,0.123168402849358,0.155358839358114,0.401557676884837,0.310899119008602,0.13997533171391,0.358825572756545,0.411460544224543,0.478472751005745,0.637606839560347,0.833504343677906,0.395235078213187,0.539430602942327,0.294227002996282,0,0.26934202762843,0.0875657007459544,0.37896586338123,0.163589383327565,0.183982237881013,0.205544101986524,0.255175945811919,0,0,0,0,0.00409728586785356,0,0,0.0442818588300104,0.404956590021512,0.218284391274469,0.194005382607846,0.474772483434976,0,0.452359038734433,0.267199862783429,0.128325786834694,0.0494982594965288,0.0178155319308896,0.154328029438369,0.0477633589064673,0.206176130461927,0.158717147328746,0.0932511833034856,0.198448740367919,0.370731965198582,0.129477615453176,0.662088953646006,0.262506374410359,0.432432939091435,0,0,0.0894112102419653,0.454931335387872,0.0433086028307441,0.629244611702497,0.859768240029692,0.777258040413826,0.843638987454374,0.800860993639569,0.551607713880249,0.420942588871455,0.745907349243436,0.720218395169554,0.619007314094264,0.768905838821702,0.00427857325964385,0.0866756323004685,0.648045443751815,0.682910468046044,0.113911428818295,0,0,0,0.652689905249033,0.376494711618645,0.572294813916527,0.536416122147016,0.0910485728821754,0.0430585444582397,0,0.00297940751069399
