SRR11599064,SRR11599065,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599075,SRR11599076,SRR11599077,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599091,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599132,SRR11599133,SRR11599138,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599149,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599164,SRR11599166,SRR11599167,SRR11599169,SRR11599170,SRR11599172,SRR11599174,SRR11599175,SRR11599177
strain1,0.477617644716213,0.521613667349894,0.370812655082447,0.421097668615274,0.4549628816512,0.0223965391584734,0,0,0,0,0,0,0,0,0,0.242234358837621,0.298831170789139,0.342119633200331,0.390643057414707,0.3770577284956,0.554517885556299,0.233372059909438,0.0629624830559084,0.196528459975449,0.364992065134488,0.198764812483848,0.14927718911424,0.0910577034303842,0.146769463763479,0.147929310562179,0.0724183488201521,0.00270396666205354,0.245120871880039,0.245671238912207,0.21639978843615,0.193003301985992,0,0,0.071428344068666,0.348206026776885,0.0384297137727805,0.0602521230138508,0.0563890724328704,0.0629902439386472,0.0503113440638613,0.224894597923567,0.0425971694785808,0,0,0.135299885139188,0.300551996088426,0.0718985329661985,0.355518805977048,0.45130341920047,0.427640588820482,0.260230010672519,0.618681211783128,0.905721758031597,0.779812231255983,0.856780116571541,0.746392302067244,0.17390946748201,0.949672472896634,0,0,0,0,0.33577658201622,0.0541523288349965,0,0.665907293144765,0.250087227093826,0.995551567033049,0.982640922990378,0.537575778651449,0.164539125842606
strain2,0.215450217006689,0.140511859495019,0,0,0,0,0,0,0,0,0,0.00833048882264426,0.00660477532792068,0,0.00401570791604617,0,0,0,0.00389392974795469,0,0.00240741209940598,0,0,0,0,0.525612942110307,0.737559633514137,0.908942296569616,0.688944189158543,0.742410460013441,0.927581651179848,0.916977062798657,0.648783222160507,0,0.11438566726404,0.286690437257792,0.0718845984147888,0.170204065591314,0.00813303571566045,0,0,0,0,0,0.000863353393867017,0,0.000595725029778448,0,0,0,0,0,0,0,0,0,0.0112483244448002,0,0.0277589639866763,0,0.0118357832693172,0,0.00316658514809229,0.8995911005083,0.882257739580011,0.911585731805601,0.906808878527288,0,0.671075728503696,0,0.0219044546426569,0,0,0,0.0704153281590429,0.00117819530885519
strain3,0.18353817239119,0.260131796925796,0.323712947992405,0.331930143160753,0.345213840223912,0,0,0,0,0,0,0.00599670417587213,0,0.0190112461734891,0,0.0766273911833746,0.0701331098391347,0.00929680131158817,0.0437154668254965,0.060381614821599,0.0139182169417443,0.190987356784829,0.148437057116795,0,0.280243109484451,0.113961065392548,0.00172247335028721,0,0.0463712887502807,0.0519944968357482,0,0,0,0,0,0.0337586541235938,0.909055127671597,0.710849326583632,0.897554079442039,0.00824697468180003,0.930283266684386,0.898481687653646,0.874013319799381,0.897853092921316,0.936755878327726,0.0245836623272838,0,0,0.00131409988775561,0.011169466444727,0,0,0,0.0372048505444918,0.0239268987506574,0,0.119378546660548,0,0,0,0.0487886362534144,0,0,0,0,0,0,0.000809828653167595,0.147716338803421,0.116096272635807,0.036839624805928,0,0,0,0.18744129783855,0
strain4,0.123393965885909,0.0777426762292911,0,0,0,0.137002888532973,0.106117373546035,0.0418785876644862,0.0879209382713248,0.111793242208206,0.0403702188162338,0,0,0,0,0,0,0,0,0,0.041983366500033,0.119593037357298,0.0871064850803744,0,0.125399455471087,0.161661180013298,0.111440704021336,0,0.117915058327697,0.057665732588632,0,0,0.106095905959454,0.0496687452958077,0.208102432501182,0.161558866634573,0,0,0.0228845407736345,0.00208331541182782,0.0312870195428332,0.0412661893325031,0.0695976077677485,0.0391566631400367,0.0117029079091065,0.651900627058829,0.834632751235576,0.628383003795022,0.681469254455848,0.806973401210747,0.0482243344292355,0.819308059465746,0,0,0,0,0.179762204054473,0,0.0976374802921452,0,0.0371181316945559,0,0.0292055140670599,0,0,0,0,0.224592270478729,0,0.158538167457299,0.148965547616305,0.132267159008522,0,0.000823986923591966,0.204567595350958,0.0202909941901966
strain5,0,0,0,0,0,0,0,0,0,0,0,0.865347992298323,0.862417699064894,0.811089381224578,0.857799298228404,0,0,0,0,0,0,0.121971929680265,0.535741156221681,0.803471540024551,0,0,0,0,0,0,0,0,0,0.704660015791985,0.235324414734116,0,0.00835298366872512,0,0,0.641463683129487,0,0,0,0,0,0,0.122174354256065,0.371616996204978,0.238385255848123,0,0.651223669482338,0.108793407568055,0,0,0,0.739769989327481,0,0,0,0,0.00723618855956015,0.82609053251799,0.0179554278882141,0.0309574461008417,0.0240941094139421,0.0286837601524191,0.0313715041964191,0.288025639857919,0.0316486420277406,0.614495150953434,0,0.473600827000403,0.00444843296695088,0.0165350900860295,0,0.813991684658342
strain6,0,0,0.305474396925148,0.246972188223973,0.199823278124888,0.840600572308554,0.893882626453965,0.958121412335514,0.912079061728675,0.888206757791794,0.959629781183766,0.120324814703161,0.130977525607186,0.169899372601933,0.13818499385555,0.681138249979005,0.631035719371727,0.648583565488081,0.561747546011842,0.562560656682801,0.387173118902518,0.334075616268169,0.16575281852524,0,0.229365369909975,0,0,0,0,0,0,0.0803189705392894,0,0,0.225787697064511,0.324988739998048,0.0107072902448887,0.118946607825054,0,0,0,0,0,0,0.000366516305438892,0.0986211126903199,0,0,0.0788313898082735,0.0465572472053381,0,0,0.644481194022952,0.511491730255038,0.54843251242886,0,0.0709297130570497,0.094278241968403,0.0947913244651952,0.143219883428459,0.148628958155909,0,0,0.0694514533908578,0.0936481510060466,0.0597305080419798,0.0618196172762926,0.150795678993964,0.0954069618301464,0.11087040895346,0.126383079790344,0.144044786897249,0,0,0,0
