SRR11599064,SRR11599065,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599075,SRR11599076,SRR11599077,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599091,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599133,SRR11599138,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599164,SRR11599166,SRR11599167,SRR11599169,SRR11599170,SRR11599172,SRR11599174,SRR11599175,SRR11599177
strain1,0.24054360040891,0.265679480477505,0.273275405556364,0.314539749904026,0.343513650761704,0,0,0,0,0,0,0,0,0,0,0.917661203165223,0.903526650296525,0.902686521431196,0.979844773907479,0.939128228619404,1,0.382905519466643,0.226390317879143,0,0.397477924573209,0.258562423396058,0.216808200995509,0.210396388591431,0.283396438818144,0.236360109233512,0.196940834504566,0.125444494323263,0.352056295758694,0.0701292528835326,0.464508198801764,0.477360042211964,0,0,0,0.0647894583064108,0,0,0,0,0,0.0567852157667137,0,0,0,0,0.0275943663052837,0,0.456265686283017,0.469210167027363,0.0201138254182783,0.663498333583995,0.854215245729515,0.870182916419698,0.889402810203505,0.572541806773059,0.643208380043056,0,0.624254853846723,0.00432427412127573,0,0.00821147413977879,0.00284747441065214,0.363845831719422,0.137117726796026,0.264008018098187,0.602551751204257,0.323881654506172,0.871410649593447,0.868495114032281,0.244607992967266,0
strain2,0,0.00731581530672524,0.31685939896876,0.258827167416325,0.218503815770258,0,0,0.0286952163836301,0.00364645568966584,0,0.033837672336017,0.93316641531489,0.928600689600588,0.956320421892497,0.914493483369532,0.0823387968347769,0.0964733497034749,0.0973134785688044,0.0201552260925206,0.0608717713805959,0,0.0097132678301002,0.183358639093427,0.239074475212253,0,0.144367189249919,0.2310793955575,0.477199110273025,0.210332354694049,0.289036986462954,0.503916243570061,0.618454253523494,0.174077232765705,0,0.164017956680316,0.139114949861759,0.0475967348083099,0.263539611088087,0,0,0,0,0,0,0.00759241130918472,0.00766139256094543,0,0.103528040865016,0.030914216070518,0,0,0,0.0675638946167553,0.0870170626632399,0.354018784555809,0,0,0,0,0.0639827312720647,0,0.240440129406769,0,0.995675725878724,0.997085884582043,0.991788525860221,0.997152525589348,0.0138969132232245,0.593791180723671,0.11302854464923,0.0222299426674868,0.0761767742989142,0,0,0,0.112180783544672
strain3,0.063448299508787,0.0927773502639444,0.114035951471426,0.128217130635463,0.124088018463995,0.98979501552919,1,0.97130478361637,0.996353544310334,1,0.966162327663983,0,0,0,0,0,0,0,0,0,0,0.0224533283811608,0.0301693876206563,0,0,0.0102197624614985,0,0,0.0149516036758153,0.0387981687605737,0,0.031267686244329,0.0133364621201505,0.0314393141674846,0.156904694904254,0.200302572477747,0,0,0,0.0485653698728,0,0,0,0,0,0.0107764338878976,0,0,0,0,0.0350505837413224,0,0.0285965769724016,0,0,0.011166795564322,0,0,0,0.125586842881678,0,0,0,0,0.00291411541795737,0,0,0.138735111480574,0.0388800728217407,0.0957189058397829,0.131661161948228,0.121042832668657,0,0,0.0830076510836241,0
strain4,0.267003350191945,0.213045757687701,0,0,0,0.0102049844708098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266215983161791,0.197454658918207,0,0.31404322575184,0.380057114125924,0.37068845079691,0.227027416279277,0.36593810280856,0.316591662623295,0.235380725409401,0.146794931729163,0.258830155485734,0.0457986210835456,0.183271023023425,0.176379644208414,0,0,0,0.0040927515827016,0,0,0.00147504376363338,0,0,0.924776957784443,1,0.845614718416455,0.969085783929482,1,0,1,0.302437146625443,0.284885205347449,0,0.205738477150235,0.0887495871252361,0.0978942927683844,0.0649088074917884,0.0411951377902339,0.00727687573796675,0,0.0263722353476026,0,0,0,0,0.142326494090403,0.0345047251591166,0.18155662878676,0.0764426063729573,0.119267043359762,0,0,0.269222815435365,0
strain5,0.15105353975744,0.109285700103257,0,0,0,0,0,0,0,0,0,0.0668335846851101,0.0713993103994118,0.0436795781075034,0.0855065166304685,0,0,0,0,0,0,0.0916422615815564,0.16208797996517,0.760925524787747,0.0350348346850405,0,0,0,0,0,0,0,0.0411166586035883,0.806917722126673,0.0312981265902422,0,0,0,0,0.829105960687193,0,0,0,0,0,0,0,0.0508572407185288,0,0,0.904884000981237,0,0.0250200019885105,0.0372556377946245,0.625867390025913,0.0109148838401084,0.0418007273762237,0.0173245542411064,0.045688382304707,0.0773942080514527,0.118514309125767,0.759559870593231,0.10131825197033,0,0,0,0,0.184049812735771,0.0266833770494592,0.180792157914853,0.052079082113743,0.229642951552467,0.128589350406553,0.131504885967719,0.128388143085575,0.887819216455328
strain6,0.277951210132918,0.311895896160868,0.29582924400345,0.298415952044185,0.313894515004043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227069639578748,0.200539016523398,0,0.253444014989911,0.2067935107666,0.181423952650081,0.0853770848562677,0.125381500003432,0.119213072919666,0.0637621965159725,0.0780386341797514,0.160583195266129,0.0457150897387637,0,0.00684279124011576,0.95240326519169,0.736460388911913,1,0.0534464595508951,1,1,0.998524956236367,1,0.992407588690815,0,0,0,0,0,0.0324710489721572,0,0.120116693513872,0.121631927167323,0,0.10868150986134,0.0152344397690251,0.0145982365708107,0,0.119299273231512,0.23100043509321,0,0.248054658835345,0,0,0,0,0.157145836750606,0.169022917449986,0.164895744711187,0.115035455693327,0.129988743614027,0,0,0.274773397428171,0
