SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599108,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599131,SRR11599132,SRR11599133,SRR11599134,SRR11599135,SRR11599136,SRR11599137,SRR11599138,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599147,SRR11599149,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599160,SRR11599161,SRR11599162,SRR11599164,SRR11599165,SRR11599166,SRR11599167,SRR11599169,SRR11599170,SRR11599172,SRR11599174,SRR11599175,SRR11599176,SRR11599177
strain1,0.0350649358088322,0.0637027100013253,0.00966288831675132,0,0.0343593321695963,0.0541470467387414,0.0667093737057096,0,0,0,0,0,0,0,0,0,0,0,0,0.15346536244069,0,0.163381287798145,0.144612971981912,0.161732708934534,0.177949581759945,0.0731875360512023,0.139012606289711,0.0115317231322289,0.266190691080305,0.141387770043205,0,0.168493069743546,0.118583774525681,0.116129225231421,0.019713389809636,0.0326457994894106,0.0469888347151465,0.0870745362611559,0.0221634916823118,0.0339402721402648,0,0.00627243312583575,0,0.0372256863080416,0.109922742052463,0.894791967204547,0.867641178615041,0.845071511852038,0.0155715196466616,0.857571410362318,0.875947691138896,0.886880338479232,0.871243593237155,0.895757909345114,0.194232323565277,0,0.0905080947671384,0.099385586671244,0.169009013660027,0,0.0758987904314032,0,0.00627949600878335,0.00832339837687596,0,0,0,0,0.0227408146162428,0.107589756095602,0,0.232951260977252,0.053941246904387,0.180405228270678,0.127947551093804,0,0.0522680918126495,0,0,0,0,0,0,0,0,0,0.0563718538519995,0,0,0.0631882424165898,0,0.129508473560416,0.16508496378633,0.0730907647760814,0.0695216551414074,0,0,0.0421221447355926,0.0277974755738839,0
strain2,0.255272981294674,0.264365517087476,0.42942487621839,0.521210956911869,0.209209496356278,0.212998785874002,0.162871491260089,0,0,0.0149583574828638,0.484553674704997,0,0,0.0185939325799495,0.155668320894386,0.0361225742124215,0.0302718527529441,0.0510026784271551,0.147339436995338,0.223611806921749,0.396490382023083,0.187019890110465,0.251341185385803,0.135157874913003,0.0970163893080746,0.546745484774856,0.145569889553304,0.744909067928741,0.249496984300286,0.236642058124316,0.435853358467111,0.321283758074632,0.389606378038178,0,0.0962227657552139,0.108986363374312,0.0452810726464452,0.0626039196057592,0.0621595886417452,0.0370090645435924,0.16679110148598,0.294485965647613,0.914188526824125,0.212982939888878,0.126157585925735,0.0113365100042049,0,0.0605527369313963,0.378328221790705,0,0.0181475522686295,0,0,0.0241458085060034,0.220312154404802,0,0,0.0157502386758995,0.12103665136765,0.316897811110267,0.0373904371981391,0.26314913460372,0.452678850134635,0.362766593633844,0.217109017671501,0.268516805937874,0.155719899322495,0.197486485658832,0.369865337692698,0.868270101187274,0.44306550812089,0.155916475970728,0.60095775957021,0.153601905691666,0.485730848605057,1,0.363578093349125,0.360246885609239,0.415216824268823,0.00813274582075542,0,0,0,0.546374941188159,0.599836576613829,0.613236309794876,0.692334979439687,0.509169718356523,0.507003012938578,0.133381313184332,0.975132409417834,0.102244685480736,0,0.193799023718073,0.341903206057229,0.395636968899609,0.378707714251222,0.129659397685322,0.184632781644172,0.192162368928197
strain3,0,0,0,0.160311591250085,0,0,0,0.836663432475256,0.884670018083121,0.906174886924902,0.181372469975678,0.880503609477027,0.868715548878013,0.904930114944573,0.156303794503671,0.0908711552656899,0.109930208578739,0.111919924306788,0.086948351658477,0.606879973350047,0.269496960723614,0.644798823868302,0.604045842632285,0.612924877603757,0.691979112792304,0.337963466509562,0.525308644660981,0.121160517964312,0.274762043700429,0.349229247686011,0.0619538004387839,0.145327129540909,0.272887520047604,0.236253352264974,0.217874978354153,0.269744990233179,0.28460083528456,0.363574852777998,0.367215447231741,0.434295204696012,0.159529681894743,0.131579156843524,0.0858114731758755,0.293003813144369,0.4776380260546,0.0369936809030473,0.0753966354550022,0,0.120790741953716,0.0217742282544022,0,0.0150954291937533,0,0,0.284066807794444,0.0473879860802122,0.241302368770894,0.216816047264306,0.219851547014072,0.150517178761826,0.188966377780192,0.73685086539628,0.337150348078733,0.396756406965199,0.74416093481142,0.731483194062126,0.844280100677505,0.802513514341168,0.310879605461966,0.0167532847065237,0.143528159215534,0.224036150467327,0,0.198970073721234,0.101578960853759,0,0.131314294478916,0.0786901990067917,0,0.244820710149003,0.288243774405956,0.243241906074,0.250619684791038,0.184849919807985,0.162068119062778,0.153384360216402,0.0678351833736311,0,0,0.37124216360925,0,0.341760923847507,0.235531354171581,0.255780028923498,0.200813638647739,0,0,0,0,0.276303176637189
strain4,0.440263809912187,0.489064964338757,0.560912235464859,0.318477451838046,0.756431171474125,0.732854167387257,0.770419135034201,0,0,0,0.334073855319324,0,0,0,0.688027884601943,0.750596242455262,0.741179497831148,0.767019348901802,0.670862332577117,0,0.334012657253304,0,0,0,0,0,0,0,0.105564317582802,0.156037349671205,0.0169746174212083,0.0696687669524066,0.218922327388537,0.0502003738270183,0.0520422162241052,0.130326684370778,0.128268683836872,0.125865689727643,0.223586078297836,0.256567728354755,0.283668401715629,0.0229198907315893,0,0.153427376012691,0.106821432289253,0.0334039948459504,0.0569621859299571,0,0.0132442568958536,0.0262911960952027,0,0.0144506947213796,0,0,0.0434494872944283,0,0.122209119933086,0.0899580810381471,0.0696163114585546,0.00934437038377539,0.0775975069760605,0,0.203891305777849,0.20427481906248,0.0387300475170791,0,0,0,0.296514242229094,0,0.0101549733977541,0.0482672810269128,0,0.0584655685243918,0,0,0,0.0248206687843459,0,0.584511648042448,0.608370956342175,0.573851404890363,0.577104743860943,0.268775139003857,0.238095304323393,0.233379329988722,0,0,0,0.0763111565514294,0.0248675905821658,0.153409711297349,0.100210277304724,0,0.0424966312783432,0,0,0.492218369575002,0.787569742781944,0.0907443926673803
strain5,0.269398272984306,0.182866808572442,0,0,0,0,0,0.163336567524744,0.115329981916879,0.0788667555922345,0,0.119496390522973,0.131284451121987,0.0764759524754775,0,0.122410028066627,0.118618440837169,0.0700580483642547,0.0948498787690675,0.0160428572875138,0,0.00479999822308785,0,0.0901845385487055,0.0330549161396764,0.0421035126643795,0.190108859496003,0.122398690974718,0.103985963336178,0.116703574475263,0.485218223672897,0.295227275688507,0,0.597417048676586,0.614146649856892,0.458296162532321,0.494860573516976,0.360881001627445,0.324875394146366,0.238187730265376,0.390010814903647,0.544742553651438,0,0.303360184646021,0.179460213677949,0.0234738470422507,0,0.0943757512165654,0.472065259713064,0.0943631652880774,0.105904756592474,0.0835735376056347,0.128756406762845,0.0800962821488829,0.257939226941048,0.952612013919788,0.545980416528881,0.578090046350403,0.420486476499696,0.523240639744132,0.620146887614205,0,0,0.0278787819616012,0,0,0,0,0,0.00738685801060088,0.403251359265822,0.33882883155778,0.345100993525403,0.408557223792031,0.28474263944738,0,0.452839520359309,0.536242246599623,0.584783175731177,0.162534895987793,0.103385269251869,0.182906689035637,0.172275571348019,0,0,0,0.183457983334683,0.490830281643477,0.492996987061422,0.355877124238399,0,0.273076205813992,0.499173404737365,0.477330182582348,0.345264868875281,0.604363031100391,0.621292285748778,0.336000088004083,0,0.440790061767234
