SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599094,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599108,SRR11599109,SRR11599110,SRR11599111,SRR11599112,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599131,SRR11599132,SRR11599133,SRR11599134,SRR11599135,SRR11599136,SRR11599137,SRR11599138,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599145,SRR11599146,SRR11599147,SRR11599148,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599160,SRR11599161,SRR11599162,SRR11599163,SRR11599164,SRR11599165,SRR11599166,SRR11599167,SRR11599168,SRR11599169,SRR11599170,SRR11599171,SRR11599172,SRR11599173,SRR11599174,SRR11599175,SRR11599176,SRR11599177,SRR11599178
strain1,0.669444660254095,0.567240893925942,0.40162468969157,0.330085580406349,0.441698712024426,0.457139420345271,0.500273324426878,0.0614422116368085,0.00833897529718309,0,0.56859925290765,0.0168413412633551,0,0.0467480165719415,0,0,0,0,0,0,0.799971613222185,0,0,0,0,0,0,0.00421456497241401,0.213431104942666,0.276636515683842,0.0457565249208917,0.228675652025483,0.402049897649393,0.423887904402318,0.264984783932638,0.1135485990705,0.281087968904992,0.185094112547723,0.131226129722621,0.038478040603642,0.041633473267842,0.327130275344643,0.176811566612205,0.390652513112434,0.187516017063624,0.706141076018033,0.395607544026484,0.481867092287702,0.233670381141834,0.274578489936308,0,0.0173762075974087,0.0448469186865891,0.204269209703336,0.0162101936251561,0.00114554120177777,0,0,0,0.982056893149581,0.590141243265437,0.22981199785651,0.345529074334709,0.773543516997354,0.258412677978667,0.252946854937572,0.363612722703344,0.162925625733705,0.273512013444589,0.339594923168918,0.313015431595154,0.397285656655023,0.274495940965848,0.137763945575667,0.358226741805626,0.195533169352927,0.268861241122969,0.372918534494543,0.168542741219166,0.22957613601765,0.0107773405451833,0.0266305450389221,0.0779130680190779,0.0485416241508849,0.0876301685009714,0.106147534407433,0.124426568510044,0.0301688175223619,0,0,0,0,0.14745676839227,0.36077862137175,0.602331647758158,0,0,0,0.455746818489889,0.248408760347898,0.292778947841007,0.210711139095489,0.0865666049681556,0.459911425580977,0.0648786230692557,0.172656764425646,0,0,0,0,0.533483194589733,0.207197570744096,0.164314149269569,0.195934550827766
strain2,0.0246631743861735,0.095329714785584,0.164528131496547,0,0.00633644314423863,0.0429662329052879,0.0267014894740802,0,0.0467335117741974,0,0,0.138818516102225,0,0.169976835062158,0,0,0,0,0,0.270805880227232,0,0.480974441667057,0.201987148886138,0.107709782287848,0.140864808179508,0.208631338617991,0.172934877151127,0.323733266968994,0.375376819657733,0.431561086671286,0.620127458392318,0.415517962828465,0.263362363297074,0.167508565853836,0.223288031240644,0.489039409944933,0.57374935249137,0.10784373891439,0.101647252934875,0.682994433601355,0.687075080697797,0.137861948642951,0.346745330995935,0.138666706731961,0.133319430452287,0.214321538400063,0.0536536230159333,0.235834257034981,0.0876511272540072,0.144405350930533,0.887264879667716,0.786188384128037,0.688405616274117,0.341699800568513,0.703260384022937,0.503580148650782,0.693632105092399,0.398126792064294,0.465321830446806,0.000660553700432254,0.215612710359258,0.128131521932878,0.0381549639024649,0.0469371658830681,0.459738153852725,0.168023105010252,0,0,0,0,0,0,0,0,0.314049498993824,0.409243387844305,0.264768944413628,0.131930485892122,0.0210012161099191,0.0325359263072832,0.11443441234001,0.0443795236080414,0.13859059087867,0.193344218975553,0.0147187739018468,0,0.472208714548705,0.0116428809352735,0,0,0,0,0,0,0,0,0,0,0.0537416797127354,0.253380774680176,0,0.230185746647956,0.277346341831422,0,0.0602402856077827,0.274077035957978,0.242586946082189,0.0472861345601463,0,0.0425741771664104,0.0425988253580636,0.122003694520827,0.199112769326594,0.341303005789253
strain3,0.135527052397326,0.0836907743506001,0.0573465044490791,0.273664052342939,0.177401742666746,0.307007770428099,0.407474627148801,0.00729896522887739,0.00395532777983174,0,0.067013208468697,0,0,0,0.825981869659594,0.520906447742593,0.638475944227929,0.387480509462913,0.129823094822651,0.432433161016379,0,0.309624062246937,0.450962216831631,0.517482264343011,0.443189189178776,0.458392282247358,0.464863581792456,0.278110649486158,0.0990768075253628,0.173960651019793,0.239150395377723,0.196850741857772,0.248262162542103,0.270240660531218,0.365724245107612,0.0844343074479813,0.101030059151175,0.414188140913607,0.539307487287213,0.211854627898854,0.070717049283174,0.213291233791414,0.376313117406347,0.211198481884556,0.290308387252116,0.0795373855819036,0.453670750618396,0.282298650677316,0.6523968550755,0.581016159133159,0,0.196435408274555,0.0638076394143819,0.351906991884487,0.150886788016012,0.243957721748569,0.0158522126623862,0.11705796193244,0.202188649566824,0,0.0170398750165001,0.0261813592998169,0,0,0.117166027043705,0.0141163373480667,0.125248832696722,0.44907226572914,0.345418082414425,0.334894184518845,0.23070231926914,0.2475298754527,0.102936628692707,0.192349591473291,0.033164424566377,0.271107727415216,0.124224244042277,0.186630563263653,0.365005061157875,0.47217233887731,0.0410339255597322,0.00466648428087776,0.162604994360378,0.13069276008592,0,0,0.291386739845263,0,0.0085534096117588,1,0.559257353036422,0.844957393696171,0.247628841139299,0.176686720455703,0.0674528886364164,0,0,0,0.0248354236960041,0.0314107318213126,0.243320609634606,0.248261533494515,0.1050453881481,0,0.548751494311675,0.034946510767416,0.0096068323796141,0.0410573742430426,0,0.132194042737766,0.186888023765418,0.200949297712503,0.440453429402861,0.315054319722319
strain4,0.170365112962406,0.196196945435485,0.172714573943877,0.0748917021399391,0.24963366931126,0,0,0.641849519384705,0.608478793898189,0.80411502624648,0.0478858607117287,0.736599376214507,0.891003428276888,0.70159196611257,0,0,0,0.00424007419747621,0.00534571332255399,0.296760958756389,0,0.16856193202029,0.284630923759279,0.374807953369142,0.319805658465,0.282749679288232,0.353654910715202,0.280098141827589,0.250611864464408,0.0837324592418639,0.0349046501078045,0.0605770708846465,0.0856056647282372,0.118799130739639,0.0202407541350688,0.196925958230427,0,0.29287400762428,0.22781913005529,0,0.124851179997811,0.321716542220992,0.0137720094283759,0.259482298271049,0.388856165231973,0,0.0501253764271707,0,0.00657370649048804,0,0.112735120332284,0,0.202939825624912,0,0.123123952463089,0.251316588398871,0.290515682245215,0.394644463700673,0.33248951998637,0.0172825531499871,0.0996713995838842,0.289567566473556,0.198008965596251,0.0970208558753407,0,0.176564502832392,0.152338210427948,0.19226729566787,0.24605057927086,0.305035525413334,0.414102258987809,0.332088125708609,0.187333683588126,0.330667242292014,0.0838693916125315,0,0.246259500639377,0.170435904189093,0.44545098151304,0.265715598797757,0,0.0238903777026907,0.141032132015942,0.199760144929035,0.00131064370069016,0,0,0,0,0,0,0,0.338886816556459,0.294169696389596,0.324736386200421,0,0,0,0.0576326325826061,0.321170486829241,0.425220563969282,0.201200714603469,0.504278635224311,0.0858252362801004,0.21005004854097,0.393228955866115,0.0363580416605183,0.223553979538914,0.0344659175820206,0.193979311614363,0.0925615582949996,0.27314084970735,0.0166463652188021,0
strain5,0,0.0575416715023893,0.203786100418927,0.321358665110773,0.124929432853329,0.192886576321342,0.0655505589502408,0.289409303749609,0.332493391250598,0.19588497375352,0.316501677911924,0.107740766419913,0.108996571723112,0.0816831822533309,0.174018130340407,0.479093552257407,0.361524055772071,0.608279416339611,0.864831191854795,0,0.200028386777815,0.0408395640657164,0.0624197105229522,0,0.0961403441767159,0.0502266998464196,0.00854663034121519,0.113843376744844,0.0615034034098298,0.0341092873832152,0.0600609712012625,0.0983785724036335,0.000719911783192637,0.0195637384729889,0.125762185584037,0.116051725306159,0.0441326194524625,0,0,0.066672897896149,0.0757232167533759,0,0.0863579755571363,0,0,0,0.0469427059120163,0,0.0197079300381706,0,0,0,0,0.102123997843663,0.00651868187280514,0,0,0.0901707823025926,0,0,0.0775347717749202,0.326307554437239,0.418306996166576,0.0824984612442374,0.164683141124903,0.388349199871717,0.358800234171986,0.195734812869285,0.135019324870126,0.0204753668989033,0.0421799901478963,0.0230963421836683,0.435233746753318,0.339219220659027,0.210689943021641,0.124115715387552,0.095886069781749,0.138084512160589,0,0,0.833754321555074,0.900433069369468,0.479859214725932,0.427661251858607,0.896340413896492,0.893852465592567,0.111977977095988,0.958188301542365,0.991446590388241,0,0.440742646963578,0.155042606303829,0.266027573911972,0.168364961782952,0.00547907740500524,1,1,1,0.408043445518766,0.145629246321372,0.0386798785551054,0.10964086615857,0.0267630298280112,0.454263338138923,0.116079548470317,0.125090732982845,0.711448179877678,0.688102511657897,0.965534082417979,0.63125246848146,0.144468397991786,0.196708587315223,0.179473286782175,0.147708123660662
