SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599094,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599108,SRR11599109,SRR11599111,SRR11599112,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599124,SRR11599125,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599133,SRR11599134,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599145,SRR11599146,SRR11599147,SRR11599148,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599160,SRR11599163,SRR11599164,SRR11599165,SRR11599166,SRR11599167,SRR11599168,SRR11599169,SRR11599170,SRR11599172,SRR11599173,SRR11599174,SRR11599175,SRR11599176,SRR11599177
strain1,0,0,0,0.0102979307948766,0,0,0,0,0.0223223984086098,0,0.0169734791579162,0.0274553203447408,0,0,0,0,0,0,0,0.114015741949009,0,0.0197330738916646,0,0.0740632284598848,0.0572934115732379,0,0.0314593483275502,0,0.058600600025746,0.0211585417661188,0.0095290752741893,0.0174553433513002,0.00507054924236927,0,0.877327680095495,0.889865256201527,0.857347175601112,0.851212003837463,0.806445463582052,0.762435000164735,0.89380315801383,0.0148451863268984,0.0223496221267155,0,0,0.0135867476204092,0.00466082049269706,0.0286933468684156,0,0,0.000868597657657602,0,0.0102183480061941,0.00526937386886077,0.00546047168026261,0.0688588983322461,0.0352702320677314,0.0201288279561948,0,0,0,0,0.0119043175267508,0.055370757955111,0.576341082427386,0.577710672077145,0.20305276263642,0.0241674729292132,0.190046857905364,0.214347000152573,0.133994983879961,0.141213033733907,0,0.0251549397324865,0,0,0,0,0.0117630964012462,0,0.0669631424490348,0.0284024855911006,0.101991226803189,0,0.0508713301663673,0.00118369386177256,0,0.398907179077507,0.0707639338093085,0.0480834126856535,0,0.322808086352373,0.0826068517847068,0.250181410624046,0,0.0845489839958037,0.113574917612833,0.0606950567011304,0.124937096750757,0,0,0.0128604355819472
strain2,0,0.0055547691526813,0.00475697414798869,0,0,0.0977796003108854,0.11780167836,0,0.00305977746968711,0.11558072712368,0,0,0.000304142546778468,0.0698555122941821,0.56995054800833,0.602401050033385,0.589202881507335,0.588847559820097,0.587223657674249,0.850649758568104,0,0.803058509070583,0.77821977600172,0.925936771540115,0.942706588426762,0.849275717515026,0.809664271620992,0.74061803466317,0,0,0,0.0401348665179135,0,0,0.0320765723095091,0,0.0412363847960267,0.0277820999432211,0,0.0622758562403513,0.0545321744278144,0,0.0448049893303091,0.00660524952792258,0.0130096688066249,0,0,0,0,0.773036939936969,0.812920607722254,0.793409304622954,0.0406804972186808,0.811478677921456,0.830545813509532,0.742115793554391,0.779714575628553,0.757434837648934,0.0113665357989082,0,0,0.00872271488178789,0,0.00968743612559523,0,0,0,0.00353205679169929,0,0,0.202451092425682,0.204298424111456,0.117385426062965,0,0.0444088822175435,0.0201291781041716,0.0195953763801197,0.322583600350076,0.0135129476537779,0.163376625682153,0,0,0,0,0,0.0720666422069582,0.0581189549454413,0,0,0,0.0241114462541641,0,0,0,0.015181797193597,0,0,0.0504691633700337,0,0.0115844687838922,0,0
strain3,0,0.000173123814704803,0.0553295534808766,0.0329324177952292,0,0,0,0.0240723776022568,0,0,0.115860634155771,0.00453046842346305,0.000329406711043026,0,0.0433077658334514,0.282104882062074,0.233168712581623,0.107293969041291,0.175884289821112,0,0.130307669690626,0,0,0,0,0,0,0,0.120054169591585,0.200846951875486,0.110040052499983,0.173456566526179,0.0909953349627163,0.0991633969933673,0.0630961667592036,0.110134743798473,0,0,0.00168470489546212,0,0,0.0437784648234935,0.277992063987414,0,0,0.0574698429583893,0.00950183749566128,0.0676743949290287,0,0.0116527400645425,0.0862269498212835,0.00308925867718473,0.25497340943127,0.0270503859676836,0.0219122179285127,0.101173394544555,0.0454140269534924,0.0218848357927134,0,0,0,0.0568825906310867,0.324673840399463,0.341206489420653,0.0866330856423886,0.0698755664777384,0.14353072393892,0.33752174786306,0,0.0687176496007365,0.0458903437706886,0,0.635820204669822,0.919498882819054,0.624630168232222,0.772845419780784,0.835048178116585,0.291249124571397,0.241427226589063,0.584370781389035,0.162718885571534,0.234014030527208,0.289167093656884,0,0.142494070810908,0,0,0.142785614553469,0.135053180093036,0.00543255857171279,0,0.385474206585173,0.114253745193356,0.129835954610368,0.291757470698223,0.0104314264671796,0.58111213259786,0.416633097235553,0.55303721662298,0,0.00283313433379558,0.225925523214811
strain4,0.0155225708138624,0,0,0.00681481914439896,0.0348108420738863,0.231856995539063,0.231464457351069,0,0,0.0107997702131541,0,0,0,0.00866339275631283,0,0,0,0,0,0.0201036713014755,0,0.0872684375094819,0.028427274381687,0,0,0,0,0.0965483156194705,0,0,0,0.0853990947992781,0,0,0.00920444225179035,0,0.0373425221491318,0.0327805390231264,0.044807406404434,0.0715931324514719,0.0416069319132879,0.941376348849608,0.0465350557442517,0.915895012823248,0.907461757463597,0.928943409421202,0.985837342011642,0.903632258202556,0.988075734774229,0.0380774226591375,0,0.0429207593227266,0.0428810127765984,0.0284324765779295,0.0204417744036693,0,0.000705634122662928,0.0409240471451225,0.165131531144639,0.162741904328042,0.158956827757671,0.173958848217074,0.011295401436907,0.128663553947799,0,0,0,0,0.0713923201010695,0,0.0780670670148097,0.109516721104111,0.126625724843001,0,0.131575779518696,0,0,0,0.0872089399308448,0,0.0774573922829914,0.0647708680540439,0.0429576675699361,0.19562707546205,0,0,0.0163980663392808,0,0,0.111423296372624,0,0.0380662658075461,0.0942351312239231,0.0235974184754219,0.153017653824142,0.117747088639312,0.225255948774443,0.353840033369502,0.217419019880055,0.00841390113677614,0,0.0557254051755507
strain5,0.984477429186138,0.994272107032614,0.939913472371135,0,0.965189157926114,0.58509282998707,0.573458591127936,0,0,0.0132746373602388,0,0,0,0,0.0625793156325686,0,0,0.0267875372173774,0.017172995091318,0,0,0.0382569554218558,0,0,0,0,0,0.0938762689273144,0.779170467004843,0.737381947333426,0.868119641429101,0.281010975410956,0.888447977865134,0.900836603006633,0,0,0.0417305075662933,0.0467485467654184,0.0741623797206488,0.103696011143442,0.0100577356450676,0,0.214728261085716,0.0774997376488295,0.079528573729778,0,0,0,0.00202909974024831,0.110062095300742,0.0764535161647436,0.10169290272589,0.282609439857637,0.12776908566407,0.121639722478023,0.0878519135688084,0.13889553122756,0.159627451457036,0.22124402939909,0.23756423423293,0.300335074567169,0.514876951941453,0.222197113257485,0.193931847109388,0,0,0.506616846715139,0.242604461776621,0.495215081711619,0.528926490517723,0.4560433523901,0.461819389495784,0.120168644424213,0.0318243272208687,0.139660746031379,0.047542739904176,0,0,0.266573396005455,0,0.571643184905856,0.599867258546011,0.483910612549045,0.676910944099116,0,0,0.0114161099082928,0.233663986614157,0.777339790081558,0.39660940021803,0.022706199248214,0.0774608086531319,0.246406554322566,0.361160403143163,0.401058848270594,0.472181225634717,0,0.0320698812266265,0,0.980001630079332,0.997166865666204,0.251490567757945
strain6,0,0,0,0.0247469739043583,0,0,0,0.975927622397743,0.974617824121703,0.860344865302927,0,0.968014211231796,0.999366450742179,0.914821322281853,0.0670019638385256,0,0.0443559569670019,0.0437944134789025,0.0614475997430195,0.00917170059762708,0,0,0.0634076872126813,0,0,0.053940780700628,0.0620103651799938,0,0.0421747633778256,0.0406125590249689,0.012311230796727,0.354590904422686,0.0154861379297799,0,0.0182951385840022,0,0,0,0.0102655067337862,0,0,0,0.393590007725594,0,0,0,0,0,0.00989516548552218,0.0634461541612295,0.023530328634061,0.0588877746512444,0.36863729270962,0,0,0,0,0,0.293295245178522,0.326145236200497,0.275664770822596,0.196289178573425,0.429929327379395,0.271139915441453,0.337025831930226,0.352413761445116,0.00729360114322505,0.392174260639407,0,0,0,0,0,0,0,0,0.145356445503295,0.184079363981606,0.379514393419613,0.105114965375666,0,0,0,0,0,0,0.0099966392027512,0.224643219754866,0.0168430960160974,0.220618297210809,0.020725832052086,0.149829038903443,0.291891601432908,0,0,0.202346687150797,0.0800570010148637,0.0862927680971547,0.104606666746208,0,0,0.428512178619983
strain7,0,0,0,0.925207858361137,0,0.0852705741629814,0.0772752731609947,0,0,0,0.867165886686313,0,0,0.0066597726676523,0.257160406687125,0.115494067904541,0.13327244894404,0.233276520442332,0.158271457670301,0.00605912758378408,0.869692330309374,0.0516830241064147,0.129945262403912,0,0,0.0967835017843463,0.0968660148714641,0.0689573807900454,0,0,0,0.0479522489716866,0,0,0,0,0.0223434098874362,0.041476810430771,0.062634538663617,0,0,0,0,0,0,0,0,0,0,0.00372464787737999,0,0,0,0,0,0,0,0,0.308962658478841,0.273548625238531,0.265043326852564,0.0492697157551739,0,0,0,0,0.139506065566296,0,0.243345740281948,0.188008859728968,0.0835531605187589,0.0831524315547428,0,0.0235218502275905,0.0597244240001589,0.159482662210868,0,0.202087911096921,0,0.147137627553146,0.121217394790584,0.0729453572816366,0.0819733994209468,0.127461980438835,0.806634599022725,0.926749663931269,0.904070229604234,0,0,0.21783303494117,0.932456522445536,0.0263615936983326,0.17060611604254,0.235224813147001,0.138984230013443,0.112744588112191,0,0,0,0,0,0.0254858896497626
