SRR11599064,SRR11599065,SRR11599066,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599091,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599098,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599131,SRR11599132,SRR11599133,SRR11599134,SRR11599135,SRR11599136,SRR11599137,SRR11599138,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599149,SRR11599151,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599164,SRR11599166,SRR11599167,SRR11599169,SRR11599170,SRR11599175,SRR11599176,SRR11599177
strain1,0,0,0,0,0,0.0176310529959387,0,0,0,0.0520363065505953,0,0,0,0.671171756639501,0.815338730953717,0.842811968352232,0.800027183408869,0.811812070907556,0,0,0,0.0124558957953196,0,0,0.168488398005952,0.0868037036335571,0,0.208361061379795,0.236235158746888,0.252524124642361,0.240303693158663,0.383602463646739,0.362221428510245,0.38037035868251,0.425312899638429,0.44446819408186,0.437671503792606,0,0.345259740488883,0.249080832071626,0.0193142986684762,0.0692341903858332,0,0,0.022098396026921,0,0.000387184531489753,0,0,0,0.0658651993448588,0.0761388363967453,0,0,0,0,0.0169685420497193,0.0555513671726029,0.0332018283027045,0,0,0,0.0883862166072717,0,0.0151906455918283,0,0.0374081401731769,0,0,0,0.80286203335005,0.859550487876069,0.853001019570323,0.864384412347608,0,0.337567240107254,0.0766556758329861,0.0325387594818301,0,0,0.00129749768731176,0.127990080811951
strain2,0,0,0,0,0.0104120302354738,0.0228558873620052,0.978351010238271,0.99694739706943,0.95854977949496,0,0.984074728754317,0.998332822685302,0.953784506257006,0.00103033879581497,0,0.0171905218966525,0,0.0252080495010617,0,0,0,0.00149794002669244,0,0,0.118091060484611,0.249931690605345,0,0.0565419218680803,0,0.0207723371502038,0.0314656569553381,0.022693741159848,0.0423927965596198,0.0559780548607447,0.252020218341626,0.299723319930294,0,0,0,0.023939951832926,0,0.0225883739409391,0,0,0,0,0.0266200390128347,0,0,0,0.104534189219783,0.221056756044927,0.0755185655804006,0,0.11189252118184,0,0,0.0114158028603336,0,0,0,0,0,0,0.236720631081069,0,0.259761373961227,0.0956175860577349,0,0,0,0,0,0,0.393656671542552,0.0381460818770366,0.350152724362839,0.109378278135606,0.32714761065417,0,0,0
strain3,0.245911369386531,0.184590939247561,0.0457709782643244,0,0,0,0.0216489897617289,0,0,0.131530412052065,0,0.00166717731469834,0,0,0,0,0,0.0311692556364356,0.00240946756101511,0,0,0.0167173325869804,0,0.105617672616814,0.158062069061539,0.194276921792822,0.863802632179718,0.432635529662836,0.165462059958694,0.59951772808869,0.69755775279575,0.535243871859249,0.517296569419455,0.407259170792179,0.309560830071584,0.206919665840063,0.41786153102047,0.806664536826934,0.36912044990419,0.19829133934025,0.0282628406196232,0,0.116228596661403,0.809566897371602,0.0768212329899461,0.098480717068852,0.0563633124220543,0.103330142216248,0.0834539437839847,1,0.547687150886959,0.541710229704128,0.48823714706332,0.781175744770311,0.64197446941473,0,0.117641560184859,0.1067549409155,0.00199324964307939,0,0,0,0.0995739306288457,0.761452299018592,0.377179545428436,0.7901116662755,0.418116892384165,0.571817460205694,0.764804928139002,0.88625775795973,0.062845325738337,0,0.0754455177207701,0.0545036044297908,0.347875138036957,0.342831263731449,0.401563376537179,0.587074387900349,0.470368754523726,0.27407268503531,0,0.588017708173821
strain4,0.754088630613469,0.815409060752439,0.927544080737826,0.93505560102355,0.919944751529688,0.914828596607645,0,0,0,0.416150601189914,0,0,0.000149905365874629,0.252359343405159,0.184661269046283,0.139997509751116,0.199972816591131,0.130510288128542,0,0.0153575754920242,0.0215276728774271,0,0,0,0,0.0396111848292129,0.0239705730427346,0,0.118475557507434,0,0,0,0,0,0,0,0.000795536526294707,0,0,0,0,0.0359639504072755,0.0192999943710832,0,0.000741762146506215,0,0.00563935989645268,0,0,0,0,0,0.0290152611257839,0.0244034744708255,0.0228871216296519,0,0.142267752963088,0.107263960100585,0,0,0,0,0.14904333935119,0.00484948882673662,0,0.0276834853777195,0,0.0346060707574565,0.0772389405542328,0,0,0,0,0,0.109074786626664,0,0,0.0061702748622691,0.0536372321755858,0.72592731496469,0.923655125042005,0
strain5,0,0,0,0.022103682876606,0.0237484591996862,0.0101054533432481,0,0,0,0.0789181873834154,0,0,0.00234635824677829,0,0,0,0,0,0.963838595714939,0.984642424507976,0.976877858833933,0.969328831591008,1,0.887310399518701,0.2491273880767,0.0678289620509226,0,0.0222049629354882,0.181036631908887,0,0,0,0,0.0100639964432185,0.0131060519483607,0.0126030854968001,0.0513921871783521,0,0.124837342153797,0.249131617103522,0.0202579560275084,0.0462424727892124,0,0,0,0,0.0365870831186421,0,0,0,0.172093068137119,0.0331768710759265,0.226208700726653,0.0349386538549961,0.175403724461103,0,0.0480272261035415,0.0235496071952813,0,0,0,0,0.0856286653689209,0,0.217802754260887,0.0709600108317814,0.181547866856406,0.1936757754041,0.0238932624147747,0,0.0626577805995506,0.0449881250472872,0.0279416050972343,0.032404397246202,0.055370299441612,0,0,0.0721236394347731,0,0,0.0238509290207813,0.0615726048204784
strain6,0,0,0,0.00764669501823085,0.0222213426880801,0.0345790096911626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707192786448539,0.161858624756686,0.12814710305152,0,0.132814271298533,0.0190690428622425,0.127185810118745,0.0306728970902487,0.0584599233341638,0.0780892055106804,0.109070389692281,0,0,0,0.0340466153579318,0.0176283734715786,0.0787845933248243,0.903918047283059,0.765888511187191,0.864471408967514,0.0126936440631632,0.892808025544945,0.901519282931148,0.874403021018527,0.896669857783752,0.916546056216015,0,0.0693550631257416,0.123755955424603,0.0804546479561246,0,0.0176809903959583,0,0,0,0,0,0,0,0,0,0.132622107364927,0,0.103165726625025,0,0.0232976287101116,0,0,0.0169178999005447,0,0,0.0303779123622345,0.178649966973794,0.171628223266996,0.0977304800052092,0.025894691561952,0,0,0
strain7,0,0,0.0266849409978497,0.0351940210816131,0.0236734163470722,0,0,0.00305260293057032,0.0414502205050403,0.32136449282401,0.0159252712456831,0,0.0437192301303408,0.0754385611595242,0,0,0,0.00130033582640419,0.0337519367240463,0,0.00159446828864001,0,0,0,0.144372459614513,0.233400434036621,0.112226794777548,0.147442252855268,0.279721549015856,0,0,0,0,0.0372580295290667,0,0.0362857346509819,0.0922792414822767,0.159288847815135,0.143154093981551,0.200771666326851,0.0282468574013329,0.0600825012895488,0,0.177739458565234,0.00753058329168194,0,0,0,0,0,0.0404653292855393,0.00416135135367068,0.100565677547718,0.159482126903867,0.0301611729167175,1,0.675094918698792,0.695464321755697,0.964804922054216,1,1,1,0.577367848043772,0.233698212154672,0.0204843162728533,0.111244837514999,0,0.104283107575014,0.110765240181879,0.11374224204027,0.071634860312062,0.0785434871760988,0.043611857611673,0.0487075859763993,0.0636451919899801,0.102805447310467,0,0.0949841801799642,0.122951711084566,0,0.0511964482499019,0.222419606193749
