SRR11599064,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599092,SRR11599114,SRR11599147,SRR11599149,SRR11599154,SRR11599160,SRR11599161,SRR11599162
strain1,0,0.00763943239784397,0,0,0,1,0.623973032618168,0,0,0,0.158234879017955,0.083980872613618,0
strain2,1,0.0760851566357838,0,0,0.0169219906245252,0,0.123946957746702,0.0214208837367359,0.0794188841090977,0,0,0,0
strain3,0,0.607958212105463,1,1,0.917972734466587,0,0,0.00261480253988468,0.00641563484835304,0,0,0.0276893998925348,0
strain4,0,0.0905878001106749,0,0,0.0177467609215091,0,0.0347199728476986,0.975964313723379,0.0377826957546465,0.996150017467373,0.00805679273161629,0.330593610400747,0
strain5,0,0.217729398750235,0,0,0.0473585139873791,0,0.217360036787431,0,0.876382785287903,0.00384998253262673,0.833708328250429,0.5577361170931,1
