SRR11599064,SRR11599065,SRR11599066,SRR11599068,SRR11599069,SRR11599070,SRR11599072,SRR11599073,SRR11599077,SRR11599086,SRR11599089,SRR11599092,SRR11599093,SRR11599116,SRR11599131,SRR11599132,SRR11599137,SRR11599138,SRR11599151,SRR11599153,SRR11599156,SRR11599160,SRR11599165,SRR11599170,SRR11599175,SRR11599176,SRR11599177
strain1,0,0,0,0.115072526332345,0.0906353436546194,0.123279161711876,0.537918776043052,0.599467492672117,0.607210050900824,0.115150307490168,0.148731558189626,0.016391717381705,0,0.413714456807883,0.976677555666074,0.839717831444915,0.888348169534052,0.802414932225358,0.207679047460473,0.481543665736462,0,0,0.531556247526354,0.38056570012531,0,0,0.0274758547801788
strain2,0.89327231942348,0.295241145686964,1,0.358751428406058,0.205477411151258,0.354446574029779,0.312334387373465,0.391713060444015,0.379505452545253,0.13292592624124,0.0886126088191724,0.0572283154323148,0,0.539034327306311,0,0.160282168555085,0,0.125946174679463,0.142612302452564,0.201028936121805,0,0,0.379989887180199,0.405399681544061,0.648993353984631,1,0
strain3,0.10672768057652,0.704758854313036,0,0.526176045261597,0.703887245194123,0.522274264258345,0.149746836583483,0.00881944688386774,0.0132844965539233,0.751923766268592,0.762655832991201,0.92637996718598,1,0.0472512158858059,0.0233224443339264,0,0.111651830465948,0.0716388930951791,0.649708650086963,0.317427398141733,1,1,0.0884538652934464,0.214034618330629,0.351006646015369,0,0.972524145219821
