SRR11599064,SRR11599065,SRR11599066,SRR11599067,SRR11599068,SRR11599071,SRR11599072,SRR11599073,SRR11599074,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599085,SRR11599086,SRR11599087,SRR11599090,SRR11599091,SRR11599092,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599108,SRR11599109,SRR11599110,SRR11599111,SRR11599112,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599121,SRR11599123,SRR11599124,SRR11599125,SRR11599127,SRR11599128,SRR11599129,SRR11599139,SRR11599140,SRR11599141,SRR11599142,SRR11599143,SRR11599144,SRR11599145,SRR11599146,SRR11599147,SRR11599149,SRR11599150,SRR11599151,SRR11599152,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599157,SRR11599158,SRR11599159,SRR11599163,SRR11599164,SRR11599165,SRR11599169,SRR11599170,SRR11599172,SRR11599173,SRR11599174,SRR11599175,SRR11599176,SRR11599177
strain1,0,0,0.000403595682065925,0.907051516954416,0,0,0.0178200364447262,0,0.908866022727083,0.00901797709411121,0,0,0,0.0485263440866665,0,0,0,0,0.974631029744536,0,0,0,0.0340575756767644,0,0,0.111809129503679,0,0.110567387255681,0.648194466510638,0.606888057238719,0.421077970337653,0.440700546058422,0.0445438597568883,0,0,0,0,0,0,0,0,0.113638141879952,0.11650998248386,0.115492317386369,0,0.102782059107461,0.130885208083138,0.0661060468974632,0.076848136969884,0.118309937180084,0,0,0.242289731259908,0,0.356760493047937,0.351405390595058,0.130354099654721,0.114308048770996,0.204315580844841,0.233391761807198,0.284794875736178,0.203236833858948,0.150844366053561,0,0.229670741919248,0.336217695075628,0.248522246724276,0.294532659708922,0.298536594808783,0.979177922145128,0.965272436781432,0.961478455132772,0,0.147048249498047,0.899563428897554,0.394514924221847,0.0690471263401853,0.189656367018515,0.164456337980213,0.228074677116276,0,0,0
strain2,0.900540146890067,0.888523811831144,0.802757580554891,0,0.883229473227251,0,0,0,0,0,0,0,0.311811707769807,0.231614827732844,0.204583178388815,0.218341215070814,0.215581870167497,0,0,0,0,0,0,0,0.367975453420905,0.389534728762053,0.0025754472795503,0.413138311474631,0,0,0.00426679503160632,0.0174476918886271,0.00243388313650105,0,0.124747617561673,0.134527773715409,0,0,0,0,0,0.30520213893798,0.309799314521737,0.315164965469045,0.0281850282722332,0.258715886038267,0.344099125313971,0,0,0,0.180217231034508,0,0.379554057385142,0.0679460847327105,0.426696204228758,0.458443518278724,0.244274823469107,0.192733632928081,0.0470996873541344,0.0499432163531039,0,0,0,0,0,0,0,0,0.061396979610175,0,0,0.0056911042749581,0.622385087445413,0.035583537053213,0,0.230451501087626,0.0705582248507673,0.0401135132210064,0.0620932559830808,0.0424984466399588,0.855562257514331,0.932382612798425,0
strain3,0,0.044009063114837,0.0585426572988528,0,0.0216895299010295,0.816497775729765,0.973214777567783,0.995052303754202,0.0273126057550848,0.933143764921086,0.95895709123828,1,0,0,0,0,0,0.2109812964349,0,0.22433249849274,0.187050477899155,0.143496376627524,0.285047258683853,0.133898836895601,0,0,0.21172251254938,0,0.0950733867895558,0.0861019433685409,0,0,0,0.222167237630997,0,0,0,0,3.45666366821255e-05,0.0283669800503624,0.0136875079761541,0.28597382451006,0.341436503652611,0.350605229738389,0.168325036025409,0.362667428393364,0.295004481614481,0.087932617360578,0.134801075476221,0.0453493104809705,0.200981480901602,0.221994075333593,0,0.197746497731525,0,0,0.0821594350916363,0.0680699216193582,0.322042900931164,0.173365169460274,0.143270503555528,0.407868753029569,0.379230511641247,0.200827486879759,0.432607174465693,0,0.0824019063964767,0,0,0,0,0,0.0123900592222844,0,0,0.0389848590690632,0,0.307425711940032,0.337811255056713,0.262749612718005,0.0495384237503331,0,0.271848155414934
strain4,0.0303339469918184,0.0674671250540188,0.0812788372737715,0,0,0,0,0.00494769624579795,0.0638213715178322,0,0,0,0.67367485427326,0.711766163598065,0.738202972639495,0.710875926535437,0.738791616618826,0.737222611396834,0.0253689702554643,0.664289876642652,0.698561643490343,0.731503332270247,0.64978578697362,0.617904839950972,0.0852314482176898,0.252725005428269,0.0963414119140489,0.297277735175226,0.180199748750985,0.159183788679113,0.260895303070929,0.247782443417913,0,0.125098665730223,0,0,0,0,0.0256340429907314,0.081805881484291,0.064810733851746,0.196308349905846,0.232254199341791,0.218737487406197,0.131763365781529,0.263507228457193,0.214860209419568,0,0,0,0.164738226248769,0.0905965467706538,0,0.0843103574487321,0,0,0.187084930863966,0.220017698850615,0.292093416451623,0.128555181870774,0.342045036170414,0.117146743596493,0.26520020010499,0.114796426927801,0.190561754076069,0.418892749042073,0.377814002383492,0.40715274536679,0.296011402526309,0,0.0347275632185676,0,0.0311948897786158,0,0,0.129671638663057,0,0.151730362063977,0.195615846019584,0.1244942311192,0.065021476939721,0,0.0465003428810427
strain5,0.0691259061181145,0,0.0570173291904193,0.0746594698376081,0.02620892933909,0.0599610833164886,0.00896518598749096,0,0,0.0517458228339244,0,0,0,0,0,0,0,0.0517960921682653,0,0.111377624864608,0.114387878610503,0.125000291102229,0.0311093786657633,0.204837512484894,0,0,0.0057780020920634,0,0.0304892593305054,0.0574806576030356,0.289639013789017,0.265677425826109,0.953022257106611,0.0568422278645658,0.785690165630139,0.813430886066833,1,1,0.974331390372587,0.889827138465347,0.9215017581721,0.0988775447661626,0,0,0.0250343832801063,0.0123273980037155,0.0151509755688407,0.220542723715685,0.178640296591775,0.192653684803199,0.0550125260493378,0.0625073580204663,0.101571893039899,0.00530131976530039,0.0020047406664498,0,0.35612671092057,0.40487069783095,0,0,0.114669827900126,0.146181960197702,0.204724922200202,0.0224999984444677,0.14716032953899,0.216764131962989,0.237405239281934,0.298314594924288,0.1983089449384,0,0,0.0328304405922699,0.334029963553687,0.0917160206506539,0.0583464558012366,0,0.11337004760002,0.0270582546355194,0.0678364557068574,0,0.0298778417956148,0.0332358823359276,0
strain6,0,0,0,0.0182890132079761,0.0688720675326295,0.123541140953747,0,0,0,0.00609243515087868,0.0410429087617196,0,0.0145134379569332,0.00809266458242442,0.0572138489716901,0.0707828583937486,0.0456265132136769,0,0,0,0,0,0,0.0433588106685337,0.546793098361405,0.245931136305999,0.683582626164957,0.179016566094462,0.0460431386183151,0.0903455531105923,0.0241209177707947,0.0283918928089291,0,0.595891868774214,0.0895622168081879,0.0520413402177577,0,0,0,0,0,0,0,0,0.646692186640722,0,0,0.625418612026274,0.60971049096212,0.643687067535746,0.399050535765783,0.624902019875287,0.276584318315052,0.644695740321732,0.214538562056855,0.190151091126218,0,0,0.134448414418238,0.41474467050865,0.115219756637754,0.125565709317288,0,0.661876087747973,0,0.0281254239193097,0.0538566052138208,0,0.145746078116334,0.0208220778548716,0,0,0,0.725652192798086,0.0420901153012095,0.206377076958407,0.747024601209027,0.284015791120951,0.172186849253553,0.34218303240656,0,0.0343815048656468,0.681651501704023
