SRR11599064,SRR11599065,SRR11599066,SRR11599068,SRR11599069,SRR11599072,SRR11599082,SRR11599084,SRR11599113,SRR11599151,SRR11599154,SRR11599156
strain1,0,0,0.0906398990488502,0.0908127519439745,0,0,0.822109221362178,0.133375950727048,0.0346419325426571,0.915433982107362,0,0.023551602248069
strain2,0.060235729311032,0.0206282515856332,0.0318913015466972,0,0.286137867547704,0,0,0,0.0523930242136954,0.0140360840815491,0,0.930263422472276
strain3,0.0109115061649803,0,0,0,0.0211297826150288,1,0,0,0.270760330952541,0.070529933811089,0,0
strain4,0.159534122159845,0.0308938425014599,0,0,0.620739063128939,0,0,0.848671236737885,0.181959399498217,0,0,0
strain5,0.163497715334355,0,0,0.106061761014951,0,0,0.177890778637822,0.0179528125350663,0.0214849398425446,0,1,0.0461849752796548
strain6,0.605820927029787,0.948477905912907,0.877468799404453,0.803125487041075,0.0719932867083278,0,0,0,0.438760372950344,0,0,0
