SRR11599064,SRR11599065,SRR11599068,SRR11599069,SRR11599070,SRR11599071,SRR11599072,SRR11599073,SRR11599075,SRR11599076,SRR11599077,SRR11599079,SRR11599080,SRR11599081,SRR11599082,SRR11599083,SRR11599084,SRR11599086,SRR11599087,SRR11599088,SRR11599089,SRR11599091,SRR11599093,SRR11599095,SRR11599096,SRR11599097,SRR11599099,SRR11599100,SRR11599101,SRR11599102,SRR11599103,SRR11599104,SRR11599105,SRR11599106,SRR11599107,SRR11599113,SRR11599114,SRR11599115,SRR11599116,SRR11599117,SRR11599118,SRR11599119,SRR11599120,SRR11599121,SRR11599122,SRR11599123,SRR11599125,SRR11599126,SRR11599127,SRR11599128,SRR11599129,SRR11599130,SRR11599134,SRR11599135,SRR11599136,SRR11599137,SRR11599138,SRR11599140,SRR11599141,SRR11599143,SRR11599149,SRR11599151,SRR11599153,SRR11599154,SRR11599155,SRR11599156,SRR11599161,SRR11599162,SRR11599164,SRR11599166,SRR11599167,SRR11599169,SRR11599175,SRR11599176,SRR11599177
strain1,0.408421076563394,0.493769020210305,0.933173522283115,0.886715521713808,0.848088658556568,0.659075105107465,0.740603817113696,0.808682095977213,0.744543713836524,0.708370383382589,0.826327420888762,1,0.812910019681382,0.826052272677989,0.900256629016605,0.822972148341738,0.809074133714252,0.841106992581403,0.824945331961723,0.685392205362971,0.789696091234231,0.562134125560058,0.646889341154496,0.661754688277127,0,0.398228362622002,0.0745108821438504,0.0725261104141315,0.151942222681133,0.167208920836456,0.238495856422379,0.530905919082539,0.639304929913054,0.389049485401429,0.00792757688172968,0.151600076063349,0.342343047873706,0.382641837196847,0.731086056910873,0.351926374642334,0.012985230430847,0.359932135749902,0.324466640993225,0.41340614631435,0.28300267163747,0.32140907334896,0,0.240502141613694,0.228119293271137,0.296184794870132,0.0137455532612426,0.155164524230172,0.983184369633748,1,1,1,0.818861033247931,0,0.368776922221581,0.316909970088404,0.00845227053821726,0,0.406507386409278,0.500376085604408,0.366917412500973,0.358296434208242,0,0,0.399469732231665,0.22264695093381,0.307129621778058,0.0851559420744973,0.365881988093169,1,0.0693064944863477
strain2,0.591578923436606,0.506230979789695,0.0668264777168844,0.113284478286192,0.151911341443432,0.340924894892535,0.259396182886304,0.191317904022787,0.255456286163476,0.291629616617411,0.173672579111238,0,0.187089980318618,0.173947727322011,0.099743370983395,0.177027851658262,0.190925866285748,0.158893007418597,0.175054668038277,0.314607794637029,0.210303908765769,0.437554342349369,0.353110658845504,0.338245311722873,0.148732110152451,0.599677942614789,0.209379195445148,0.242735689348948,0.171165701063574,0.215513012499678,0.16212542466227,0.469094080917461,0.360695070086946,0.603338593652194,0.16683746884141,0.107183585672889,0.0961810299047006,0.100973302145168,0.0689727998416885,0.175616741643692,0.149622702717212,0.159531176533005,0.160343209569993,0.254364460343022,0.157399640717875,0.112482759322593,0.986799871728696,0.759497858386306,0.771880706728863,0.703815205129868,0.166424244114385,0.844835475769828,0.0168156303662516,0,0,0,0.181138966752069,0.10367544095444,0.631223077778419,0.662484498275168,0.1150489906434,0.121529709627547,0.0286298485991885,0.0886635280120336,0.0338995233330857,0.025943381387621,0,0,0.600530267768335,0.0741689550035762,0.692870378221942,0.176547119829044,0.634118011906831,0,0.149106613145999
strain3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311532090572601,0,0,0.851267889847549,0.00209369476320989,0.716109922411002,0.684738200236921,0.676892076255293,0.617278066663866,0.599378718915351,0,0,0.0076119209463766,0.82523495427686,0.741216338263762,0.561475922221594,0.516384860657985,0.199941143247438,0.472456883713973,0.837392066851941,0.480536687717093,0.515190149436783,0.332229393342628,0.559597687644655,0.566108167328447,0.0132001282713039,0,0,0,0.819830202624372,0,0,0,0,0,0,0.89632455904556,0,0.020605531636428,0.876498738818383,0.878470290372453,0.564862764991533,0.410960386383559,0.599183064165941,0.615760184404137,1,1,0,0.703184094062614,0,0.738296938096459,0,0,0.781586892367653
