"","strain1","strain2","strain3"
"Stop4M",0.0174007791038135,0.0754708862630145,0.195894761997621
"Stop12M",0.00986740008872136,0.124858997529636,0.0498177208103104
"both",1.42744111873137e-12,2.34272336307346e-10,0.677848096830218
